query_chunk	logical_family	url_chars	url_length_warning	search_query
family_a_coding_agent_memory__chunk01	family_a_coding_agent_memory	3183	no	"(cat:cs.SE OR cat:cs.AI OR cat:cs.CL OR cat:cs.LG) AND ((abs:""AI coding agent"" OR abs:""AI coding agents"" OR abs:""software engineering agent"" OR abs:""software engineering agents"" OR abs:""SWE agent"" OR abs:""SWE agents"" OR abs:""coding agent"" OR abs:""coding agents"" OR abs:""code agent"" OR abs:""code agents"" OR abs:""programming agent"" OR abs:""programming agents"" OR abs:""autonomous coding"" OR abs:""agentic coding"" OR abs:""coding assistant"" OR abs:""code assistant"" OR abs:""software-developing agent"" OR abs:""software developing agent"") OR (ti:""AI coding agent"" OR ti:""AI coding agents"" OR ti:""coding agent"" OR ti:""coding agents"" OR ti:""code agent"" OR ti:""code agents"" OR ti:""software engineering agent"" OR ti:""software engineering agents"" OR ti:""SWE agent"" OR ti:""SWE agents"" OR ti:""programming agent"" OR ti:""programming agents"" OR ti:""autonomous coding"" OR ti:""agentic coding"" OR ti:""coding assistant"" OR ti:""code assistant"" OR ti:""software-developing agent"" OR ti:""software developing agent"")) AND ((abs:""memory"" OR abs:""experience"" OR abs:""knowledge persistence"" OR abs:""context management"" OR abs:""long-term memory"" OR abs:""long term memory"" OR abs:""episodic memory"" OR abs:""semantic memory"" OR abs:""procedural memory"" OR abs:""knowledge reuse"" OR abs:""experience reuse"" OR abs:""continual learning"" OR abs:""experience replay"" OR abs:""memory-augmented"" OR abs:""persistent memory"" OR abs:""persistent context"" OR abs:""cross-task"" OR abs:""cross task"" OR abs:""reasoning memory"" OR abs:""experience memory"" OR abs:""experience learning"" OR abs:""evolving memory"" OR abs:""optimization memory"" OR abs:""experience bank"" OR abs:""memory bank"" OR abs:""failure memory"" OR abs:""trajectory memory"" OR abs:""skill memory"" OR abs:""case base"") OR (ti:""memory"" OR ti:""experience"" OR ti:""knowledge persistence"" OR ti:""context management"" OR ti:""long-term memory"" OR ti:""long term memory"" OR ti:""episodic memory"" OR ti:""semantic memory"" OR ti:""procedural memory"" OR ti:""knowledge reuse"" OR ti:""experience reuse"" OR ti:""continual learning"" OR ti:""experience replay"" OR ti:""memory-augmented"" OR ti:""persistent memory"" OR ti:""persistent context"" OR ti:""cross-task"" OR ti:""cross task"" OR ti:""reasoning memory"" OR ti:""experience memory"" OR ti:""experience learning"" OR ti:""evolving memory"" OR ti:""optimization memory"" OR ti:""experience bank"" OR ti:""memory bank"" OR ti:""failure memory"" OR ti:""trajectory memory"" OR ti:""skill memory"" OR ti:""case base"")) AND submittedDate:[202301010000 TO 202604272359]"
family_a_coding_agent_memory__chunk02	family_a_coding_agent_memory	3140	no	"(cat:cs.SE OR cat:cs.AI OR cat:cs.CL OR cat:cs.LG) AND ((abs:""AI coding agent"" OR abs:""AI coding agents"" OR abs:""software engineering agent"" OR abs:""software engineering agents"" OR abs:""SWE agent"" OR abs:""SWE agents"" OR abs:""coding agent"" OR abs:""coding agents"" OR abs:""code agent"" OR abs:""code agents"" OR abs:""programming agent"" OR abs:""programming agents"" OR abs:""autonomous coding"" OR abs:""agentic coding"" OR abs:""coding assistant"" OR abs:""code assistant"" OR abs:""software-developing agent"" OR abs:""software developing agent"") OR (ti:""AI coding agent"" OR ti:""AI coding agents"" OR ti:""coding agent"" OR ti:""coding agents"" OR ti:""code agent"" OR ti:""code agents"" OR ti:""software engineering agent"" OR ti:""software engineering agents"" OR ti:""SWE agent"" OR ti:""SWE agents"" OR ti:""programming agent"" OR ti:""programming agents"" OR ti:""autonomous coding"" OR ti:""agentic coding"" OR ti:""coding assistant"" OR ti:""code assistant"" OR ti:""software-developing agent"" OR ti:""software developing agent"")) AND ((abs:""case-based"" OR abs:""experience sharing"" OR abs:""context reuse"" OR abs:""self-evolving"" OR abs:""self evolving"" OR abs:""context learning"" OR abs:""context engineering"" OR abs:""state tracking"" OR abs:""memory management"" OR abs:""dynamic memory management"" OR abs:""adaptive memory"" OR abs:""context memory"" OR abs:""session memory"" OR abs:""repository context"" OR abs:""forgetting"" OR abs:""cross-session"" OR abs:""cross session"" OR abs:""history-aware"" OR abs:""history aware"" OR abs:""experience-driven"" OR abs:""experience driven"" OR abs:""learning from experience"" OR abs:""cross-domain experience"" OR abs:""self-evolve"" OR abs:""self-evolves"" OR abs:""self-evolution"" OR abs:""self-improving"" OR abs:""self-improvement"") OR (ti:""case-based"" OR ti:""experience sharing"" OR ti:""context reuse"" OR ti:""self-evolving"" OR ti:""self evolving"" OR ti:""context learning"" OR ti:""context engineering"" OR ti:""state tracking"" OR ti:""memory management"" OR ti:""dynamic memory management"" OR ti:""adaptive memory"" OR ti:""context memory"" OR ti:""session memory"" OR ti:""repository context"" OR ti:""forgetting"" OR ti:""cross-session"" OR ti:""cross session"" OR ti:""history-aware"" OR ti:""history aware"" OR ti:""experience-driven"" OR ti:""experience driven"" OR ti:""learning from experience"" OR ti:""cross-domain experience"" OR ti:""self-evolve"" OR ti:""self-evolves"" OR ti:""self-evolution"" OR ti:""self-improving"" OR ti:""self-improvement"")) AND submittedDate:[202301010000 TO 202604272359]"
family_a_coding_agent_memory__chunk03	family_a_coding_agent_memory	1554	no	"(cat:cs.SE OR cat:cs.AI OR cat:cs.CL OR cat:cs.LG) AND ((abs:""AI coding agent"" OR abs:""AI coding agents"" OR abs:""software engineering agent"" OR abs:""software engineering agents"" OR abs:""SWE agent"" OR abs:""SWE agents"" OR abs:""coding agent"" OR abs:""coding agents"" OR abs:""code agent"" OR abs:""code agents"" OR abs:""programming agent"" OR abs:""programming agents"" OR abs:""autonomous coding"" OR abs:""agentic coding"" OR abs:""coding assistant"" OR abs:""code assistant"" OR abs:""software-developing agent"" OR abs:""software developing agent"") OR (ti:""AI coding agent"" OR ti:""AI coding agents"" OR ti:""coding agent"" OR ti:""coding agents"" OR ti:""code agent"" OR ti:""code agents"" OR ti:""software engineering agent"" OR ti:""software engineering agents"" OR ti:""SWE agent"" OR ti:""SWE agents"" OR ti:""programming agent"" OR ti:""programming agents"" OR ti:""autonomous coding"" OR ti:""agentic coding"" OR ti:""coding assistant"" OR ti:""code assistant"" OR ti:""software-developing agent"" OR ti:""software developing agent"")) AND ((abs:""continuously evolve"" OR abs:""open-ended evolution"") OR (ti:""continuously evolve"" OR ti:""open-ended evolution"")) AND submittedDate:[202301010000 TO 202604272359]"
family_b_generic_agent_memory_se__chunk01	family_b_generic_agent_memory_se	3155	no	"(cat:cs.SE OR cat:cs.AI OR cat:cs.CL OR cat:cs.LG) AND ((abs:""LLM agent"" OR abs:""LLM agents"" OR abs:""LLM-based agent"" OR abs:""LLM-based agents"" OR abs:""large language model agent"" OR abs:""large language model agents"" OR abs:""language model agent"" OR abs:""language model agents"" OR abs:""language agent"" OR abs:""language agents"") OR (ti:""LLM-based agent"" OR ti:""LLM-based agents"" OR ti:""large language model agent"" OR ti:""large language model agents"" OR ti:""LLM agent"" OR ti:""LLM agents"" OR ti:""language model agent"" OR ti:""language model agents"" OR ti:""language agent"" OR ti:""language agents"")) AND ((abs:""SWE-bench"" OR abs:""HumanEval"" OR abs:""MBPP"" OR abs:""CodeContests"" OR abs:""Defects4J"" OR abs:""software engineering"" OR abs:""software development"" OR abs:""repository-level"" OR abs:""program repair"" OR abs:""code repair"" OR abs:""software repair"" OR abs:""automated program repair"" OR abs:""repository-level program repair"" OR abs:""issue resolution"" OR abs:""code generation"" OR abs:""program synthesis"" OR abs:""test generation"" OR abs:""software testing"" OR abs:""code optimization"" OR abs:""coding benchmark"" OR abs:""programming benchmark"" OR abs:""software engineering benchmark"" OR abs:""bug fix"" OR abs:""bug fixing"" OR abs:""CodeIF-Bench"" OR abs:""CoderEval"" OR abs:""SWE-Bench Pro"" OR abs:""SWE-Bench Verified"" OR abs:""code localization"" OR abs:""patch generation"" OR abs:""automated debugging"") OR (ti:""SWE-bench"" OR ti:""HumanEval"" OR ti:""MBPP"" OR ti:""CodeContests"" OR ti:""Defects4J"" OR ti:""software engineering"" OR ti:""software development"" OR ti:""repository-level"" OR ti:""program repair"" OR ti:""code repair"" OR ti:""software repair"" OR ti:""automated program repair"" OR ti:""repository-level program repair"" OR ti:""issue resolution"" OR ti:""code generation"" OR ti:""program synthesis"" OR ti:""test generation"" OR ti:""software testing"" OR ti:""code optimization"" OR ti:""coding benchmark"" OR ti:""programming benchmark"" OR ti:""software engineering benchmark"" OR ti:""bug fix"" OR ti:""bug fixing"" OR ti:""CodeIF-Bench"" OR ti:""CoderEval"" OR ti:""SWE-Bench Pro"" OR ti:""SWE-Bench Verified"" OR ti:""code localization"" OR ti:""patch generation"" OR ti:""automated debugging"")) AND ((abs:""memory"" OR abs:""experience"" OR abs:""knowledge persistence"" OR abs:""context management"" OR abs:""long-term memory"") OR (ti:""memory"" OR ti:""experience"" OR ti:""knowledge persistence"" OR ti:""context management"" OR ti:""long-term memory"")) AND submittedDate:[202301010000 TO 202604272359]"
family_b_generic_agent_memory_se__chunk02	family_b_generic_agent_memory_se	3169	no	"(cat:cs.SE OR cat:cs.AI OR cat:cs.CL OR cat:cs.LG) AND ((abs:""LLM agent"" OR abs:""LLM agents"" OR abs:""LLM-based agent"" OR abs:""LLM-based agents"" OR abs:""large language model agent"" OR abs:""large language model agents"" OR abs:""language model agent"" OR abs:""language model agents"" OR abs:""language agent"" OR abs:""language agents"") OR (ti:""LLM-based agent"" OR ti:""LLM-based agents"" OR ti:""large language model agent"" OR ti:""large language model agents"" OR ti:""LLM agent"" OR ti:""LLM agents"" OR ti:""language model agent"" OR ti:""language model agents"" OR ti:""language agent"" OR ti:""language agents"")) AND ((abs:""SWE-bench"" OR abs:""HumanEval"" OR abs:""MBPP"" OR abs:""CodeContests"" OR abs:""Defects4J"" OR abs:""software engineering"" OR abs:""software development"" OR abs:""repository-level"" OR abs:""program repair"" OR abs:""code repair"" OR abs:""software repair"" OR abs:""automated program repair"" OR abs:""repository-level program repair"" OR abs:""issue resolution"" OR abs:""code generation"" OR abs:""program synthesis"" OR abs:""test generation"" OR abs:""software testing"" OR abs:""code optimization"" OR abs:""coding benchmark"" OR abs:""programming benchmark"" OR abs:""software engineering benchmark"" OR abs:""bug fix"" OR abs:""bug fixing"" OR abs:""CodeIF-Bench"" OR abs:""CoderEval"" OR abs:""SWE-Bench Pro"" OR abs:""SWE-Bench Verified"" OR abs:""code localization"" OR abs:""patch generation"" OR abs:""automated debugging"") OR (ti:""SWE-bench"" OR ti:""HumanEval"" OR ti:""MBPP"" OR ti:""CodeContests"" OR ti:""Defects4J"" OR ti:""software engineering"" OR ti:""software development"" OR ti:""repository-level"" OR ti:""program repair"" OR ti:""code repair"" OR ti:""software repair"" OR ti:""automated program repair"" OR ti:""repository-level program repair"" OR ti:""issue resolution"" OR ti:""code generation"" OR ti:""program synthesis"" OR ti:""test generation"" OR ti:""software testing"" OR ti:""code optimization"" OR ti:""coding benchmark"" OR ti:""programming benchmark"" OR ti:""software engineering benchmark"" OR ti:""bug fix"" OR ti:""bug fixing"" OR ti:""CodeIF-Bench"" OR ti:""CoderEval"" OR ti:""SWE-Bench Pro"" OR ti:""SWE-Bench Verified"" OR ti:""code localization"" OR ti:""patch generation"" OR ti:""automated debugging"")) AND ((abs:""long term memory"" OR abs:""episodic memory"" OR abs:""semantic memory"" OR abs:""procedural memory"" OR abs:""knowledge reuse"") OR (ti:""long term memory"" OR ti:""episodic memory"" OR ti:""semantic memory"" OR ti:""procedural memory"" OR ti:""knowledge reuse"")) AND submittedDate:[202301010000 TO 202604272359]"
family_b_generic_agent_memory_se__chunk03	family_b_generic_agent_memory_se	3181	no	"(cat:cs.SE OR cat:cs.AI OR cat:cs.CL OR cat:cs.LG) AND ((abs:""LLM agent"" OR abs:""LLM agents"" OR abs:""LLM-based agent"" OR abs:""LLM-based agents"" OR abs:""large language model agent"" OR abs:""large language model agents"" OR abs:""language model agent"" OR abs:""language model agents"" OR abs:""language agent"" OR abs:""language agents"") OR (ti:""LLM-based agent"" OR ti:""LLM-based agents"" OR ti:""large language model agent"" OR ti:""large language model agents"" OR ti:""LLM agent"" OR ti:""LLM agents"" OR ti:""language model agent"" OR ti:""language model agents"" OR ti:""language agent"" OR ti:""language agents"")) AND ((abs:""SWE-bench"" OR abs:""HumanEval"" OR abs:""MBPP"" OR abs:""CodeContests"" OR abs:""Defects4J"" OR abs:""software engineering"" OR abs:""software development"" OR abs:""repository-level"" OR abs:""program repair"" OR abs:""code repair"" OR abs:""software repair"" OR abs:""automated program repair"" OR abs:""repository-level program repair"" OR abs:""issue resolution"" OR abs:""code generation"" OR abs:""program synthesis"" OR abs:""test generation"" OR abs:""software testing"" OR abs:""code optimization"" OR abs:""coding benchmark"" OR abs:""programming benchmark"" OR abs:""software engineering benchmark"" OR abs:""bug fix"" OR abs:""bug fixing"" OR abs:""CodeIF-Bench"" OR abs:""CoderEval"" OR abs:""SWE-Bench Pro"" OR abs:""SWE-Bench Verified"" OR abs:""code localization"" OR abs:""patch generation"" OR abs:""automated debugging"") OR (ti:""SWE-bench"" OR ti:""HumanEval"" OR ti:""MBPP"" OR ti:""CodeContests"" OR ti:""Defects4J"" OR ti:""software engineering"" OR ti:""software development"" OR ti:""repository-level"" OR ti:""program repair"" OR ti:""code repair"" OR ti:""software repair"" OR ti:""automated program repair"" OR ti:""repository-level program repair"" OR ti:""issue resolution"" OR ti:""code generation"" OR ti:""program synthesis"" OR ti:""test generation"" OR ti:""software testing"" OR ti:""code optimization"" OR ti:""coding benchmark"" OR ti:""programming benchmark"" OR ti:""software engineering benchmark"" OR ti:""bug fix"" OR ti:""bug fixing"" OR ti:""CodeIF-Bench"" OR ti:""CoderEval"" OR ti:""SWE-Bench Pro"" OR ti:""SWE-Bench Verified"" OR ti:""code localization"" OR ti:""patch generation"" OR ti:""automated debugging"")) AND ((abs:""experience reuse"" OR abs:""continual learning"" OR abs:""experience replay"" OR abs:""memory-augmented"" OR abs:""persistent memory"") OR (ti:""experience reuse"" OR ti:""continual learning"" OR ti:""experience replay"" OR ti:""memory-augmented"" OR ti:""persistent memory"")) AND submittedDate:[202301010000 TO 202604272359]"
family_b_generic_agent_memory_se__chunk04	family_b_generic_agent_memory_se	3155	no	"(cat:cs.SE OR cat:cs.AI OR cat:cs.CL OR cat:cs.LG) AND ((abs:""LLM agent"" OR abs:""LLM agents"" OR abs:""LLM-based agent"" OR abs:""LLM-based agents"" OR abs:""large language model agent"" OR abs:""large language model agents"" OR abs:""language model agent"" OR abs:""language model agents"" OR abs:""language agent"" OR abs:""language agents"") OR (ti:""LLM-based agent"" OR ti:""LLM-based agents"" OR ti:""large language model agent"" OR ti:""large language model agents"" OR ti:""LLM agent"" OR ti:""LLM agents"" OR ti:""language model agent"" OR ti:""language model agents"" OR ti:""language agent"" OR ti:""language agents"")) AND ((abs:""SWE-bench"" OR abs:""HumanEval"" OR abs:""MBPP"" OR abs:""CodeContests"" OR abs:""Defects4J"" OR abs:""software engineering"" OR abs:""software development"" OR abs:""repository-level"" OR abs:""program repair"" OR abs:""code repair"" OR abs:""software repair"" OR abs:""automated program repair"" OR abs:""repository-level program repair"" OR abs:""issue resolution"" OR abs:""code generation"" OR abs:""program synthesis"" OR abs:""test generation"" OR abs:""software testing"" OR abs:""code optimization"" OR abs:""coding benchmark"" OR abs:""programming benchmark"" OR abs:""software engineering benchmark"" OR abs:""bug fix"" OR abs:""bug fixing"" OR abs:""CodeIF-Bench"" OR abs:""CoderEval"" OR abs:""SWE-Bench Pro"" OR abs:""SWE-Bench Verified"" OR abs:""code localization"" OR abs:""patch generation"" OR abs:""automated debugging"") OR (ti:""SWE-bench"" OR ti:""HumanEval"" OR ti:""MBPP"" OR ti:""CodeContests"" OR ti:""Defects4J"" OR ti:""software engineering"" OR ti:""software development"" OR ti:""repository-level"" OR ti:""program repair"" OR ti:""code repair"" OR ti:""software repair"" OR ti:""automated program repair"" OR ti:""repository-level program repair"" OR ti:""issue resolution"" OR ti:""code generation"" OR ti:""program synthesis"" OR ti:""test generation"" OR ti:""software testing"" OR ti:""code optimization"" OR ti:""coding benchmark"" OR ti:""programming benchmark"" OR ti:""software engineering benchmark"" OR ti:""bug fix"" OR ti:""bug fixing"" OR ti:""CodeIF-Bench"" OR ti:""CoderEval"" OR ti:""SWE-Bench Pro"" OR ti:""SWE-Bench Verified"" OR ti:""code localization"" OR ti:""patch generation"" OR ti:""automated debugging"")) AND ((abs:""persistent context"" OR abs:""cross-task"" OR abs:""cross task"" OR abs:""reasoning memory"" OR abs:""experience memory"") OR (ti:""persistent context"" OR ti:""cross-task"" OR ti:""cross task"" OR ti:""reasoning memory"" OR ti:""experience memory"")) AND submittedDate:[202301010000 TO 202604272359]"
family_b_generic_agent_memory_se__chunk05	family_b_generic_agent_memory_se	3171	no	"(cat:cs.SE OR cat:cs.AI OR cat:cs.CL OR cat:cs.LG) AND ((abs:""LLM agent"" OR abs:""LLM agents"" OR abs:""LLM-based agent"" OR abs:""LLM-based agents"" OR abs:""large language model agent"" OR abs:""large language model agents"" OR abs:""language model agent"" OR abs:""language model agents"" OR abs:""language agent"" OR abs:""language agents"") OR (ti:""LLM-based agent"" OR ti:""LLM-based agents"" OR ti:""large language model agent"" OR ti:""large language model agents"" OR ti:""LLM agent"" OR ti:""LLM agents"" OR ti:""language model agent"" OR ti:""language model agents"" OR ti:""language agent"" OR ti:""language agents"")) AND ((abs:""SWE-bench"" OR abs:""HumanEval"" OR abs:""MBPP"" OR abs:""CodeContests"" OR abs:""Defects4J"" OR abs:""software engineering"" OR abs:""software development"" OR abs:""repository-level"" OR abs:""program repair"" OR abs:""code repair"" OR abs:""software repair"" OR abs:""automated program repair"" OR abs:""repository-level program repair"" OR abs:""issue resolution"" OR abs:""code generation"" OR abs:""program synthesis"" OR abs:""test generation"" OR abs:""software testing"" OR abs:""code optimization"" OR abs:""coding benchmark"" OR abs:""programming benchmark"" OR abs:""software engineering benchmark"" OR abs:""bug fix"" OR abs:""bug fixing"" OR abs:""CodeIF-Bench"" OR abs:""CoderEval"" OR abs:""SWE-Bench Pro"" OR abs:""SWE-Bench Verified"" OR abs:""code localization"" OR abs:""patch generation"" OR abs:""automated debugging"") OR (ti:""SWE-bench"" OR ti:""HumanEval"" OR ti:""MBPP"" OR ti:""CodeContests"" OR ti:""Defects4J"" OR ti:""software engineering"" OR ti:""software development"" OR ti:""repository-level"" OR ti:""program repair"" OR ti:""code repair"" OR ti:""software repair"" OR ti:""automated program repair"" OR ti:""repository-level program repair"" OR ti:""issue resolution"" OR ti:""code generation"" OR ti:""program synthesis"" OR ti:""test generation"" OR ti:""software testing"" OR ti:""code optimization"" OR ti:""coding benchmark"" OR ti:""programming benchmark"" OR ti:""software engineering benchmark"" OR ti:""bug fix"" OR ti:""bug fixing"" OR ti:""CodeIF-Bench"" OR ti:""CoderEval"" OR ti:""SWE-Bench Pro"" OR ti:""SWE-Bench Verified"" OR ti:""code localization"" OR ti:""patch generation"" OR ti:""automated debugging"")) AND ((abs:""experience learning"" OR abs:""evolving memory"" OR abs:""optimization memory"" OR abs:""experience bank"" OR abs:""memory bank"") OR (ti:""experience learning"" OR ti:""evolving memory"" OR ti:""optimization memory"" OR ti:""experience bank"" OR ti:""memory bank"")) AND submittedDate:[202301010000 TO 202604272359]"
family_b_generic_agent_memory_se__chunk06	family_b_generic_agent_memory_se	3137	no	"(cat:cs.SE OR cat:cs.AI OR cat:cs.CL OR cat:cs.LG) AND ((abs:""LLM agent"" OR abs:""LLM agents"" OR abs:""LLM-based agent"" OR abs:""LLM-based agents"" OR abs:""large language model agent"" OR abs:""large language model agents"" OR abs:""language model agent"" OR abs:""language model agents"" OR abs:""language agent"" OR abs:""language agents"") OR (ti:""LLM-based agent"" OR ti:""LLM-based agents"" OR ti:""large language model agent"" OR ti:""large language model agents"" OR ti:""LLM agent"" OR ti:""LLM agents"" OR ti:""language model agent"" OR ti:""language model agents"" OR ti:""language agent"" OR ti:""language agents"")) AND ((abs:""SWE-bench"" OR abs:""HumanEval"" OR abs:""MBPP"" OR abs:""CodeContests"" OR abs:""Defects4J"" OR abs:""software engineering"" OR abs:""software development"" OR abs:""repository-level"" OR abs:""program repair"" OR abs:""code repair"" OR abs:""software repair"" OR abs:""automated program repair"" OR abs:""repository-level program repair"" OR abs:""issue resolution"" OR abs:""code generation"" OR abs:""program synthesis"" OR abs:""test generation"" OR abs:""software testing"" OR abs:""code optimization"" OR abs:""coding benchmark"" OR abs:""programming benchmark"" OR abs:""software engineering benchmark"" OR abs:""bug fix"" OR abs:""bug fixing"" OR abs:""CodeIF-Bench"" OR abs:""CoderEval"" OR abs:""SWE-Bench Pro"" OR abs:""SWE-Bench Verified"" OR abs:""code localization"" OR abs:""patch generation"" OR abs:""automated debugging"") OR (ti:""SWE-bench"" OR ti:""HumanEval"" OR ti:""MBPP"" OR ti:""CodeContests"" OR ti:""Defects4J"" OR ti:""software engineering"" OR ti:""software development"" OR ti:""repository-level"" OR ti:""program repair"" OR ti:""code repair"" OR ti:""software repair"" OR ti:""automated program repair"" OR ti:""repository-level program repair"" OR ti:""issue resolution"" OR ti:""code generation"" OR ti:""program synthesis"" OR ti:""test generation"" OR ti:""software testing"" OR ti:""code optimization"" OR ti:""coding benchmark"" OR ti:""programming benchmark"" OR ti:""software engineering benchmark"" OR ti:""bug fix"" OR ti:""bug fixing"" OR ti:""CodeIF-Bench"" OR ti:""CoderEval"" OR ti:""SWE-Bench Pro"" OR ti:""SWE-Bench Verified"" OR ti:""code localization"" OR ti:""patch generation"" OR ti:""automated debugging"")) AND ((abs:""failure memory"" OR abs:""trajectory memory"" OR abs:""skill memory"" OR abs:""case base"" OR abs:""case-based"") OR (ti:""failure memory"" OR ti:""trajectory memory"" OR ti:""skill memory"" OR ti:""case base"" OR ti:""case-based"")) AND submittedDate:[202301010000 TO 202604272359]"
family_b_generic_agent_memory_se__chunk07	family_b_generic_agent_memory_se	3159	no	"(cat:cs.SE OR cat:cs.AI OR cat:cs.CL OR cat:cs.LG) AND ((abs:""LLM agent"" OR abs:""LLM agents"" OR abs:""LLM-based agent"" OR abs:""LLM-based agents"" OR abs:""large language model agent"" OR abs:""large language model agents"" OR abs:""language model agent"" OR abs:""language model agents"" OR abs:""language agent"" OR abs:""language agents"") OR (ti:""LLM-based agent"" OR ti:""LLM-based agents"" OR ti:""large language model agent"" OR ti:""large language model agents"" OR ti:""LLM agent"" OR ti:""LLM agents"" OR ti:""language model agent"" OR ti:""language model agents"" OR ti:""language agent"" OR ti:""language agents"")) AND ((abs:""SWE-bench"" OR abs:""HumanEval"" OR abs:""MBPP"" OR abs:""CodeContests"" OR abs:""Defects4J"" OR abs:""software engineering"" OR abs:""software development"" OR abs:""repository-level"" OR abs:""program repair"" OR abs:""code repair"" OR abs:""software repair"" OR abs:""automated program repair"" OR abs:""repository-level program repair"" OR abs:""issue resolution"" OR abs:""code generation"" OR abs:""program synthesis"" OR abs:""test generation"" OR abs:""software testing"" OR abs:""code optimization"" OR abs:""coding benchmark"" OR abs:""programming benchmark"" OR abs:""software engineering benchmark"" OR abs:""bug fix"" OR abs:""bug fixing"" OR abs:""CodeIF-Bench"" OR abs:""CoderEval"" OR abs:""SWE-Bench Pro"" OR abs:""SWE-Bench Verified"" OR abs:""code localization"" OR abs:""patch generation"" OR abs:""automated debugging"") OR (ti:""SWE-bench"" OR ti:""HumanEval"" OR ti:""MBPP"" OR ti:""CodeContests"" OR ti:""Defects4J"" OR ti:""software engineering"" OR ti:""software development"" OR ti:""repository-level"" OR ti:""program repair"" OR ti:""code repair"" OR ti:""software repair"" OR ti:""automated program repair"" OR ti:""repository-level program repair"" OR ti:""issue resolution"" OR ti:""code generation"" OR ti:""program synthesis"" OR ti:""test generation"" OR ti:""software testing"" OR ti:""code optimization"" OR ti:""coding benchmark"" OR ti:""programming benchmark"" OR ti:""software engineering benchmark"" OR ti:""bug fix"" OR ti:""bug fixing"" OR ti:""CodeIF-Bench"" OR ti:""CoderEval"" OR ti:""SWE-Bench Pro"" OR ti:""SWE-Bench Verified"" OR ti:""code localization"" OR ti:""patch generation"" OR ti:""automated debugging"")) AND ((abs:""experience sharing"" OR abs:""context reuse"" OR abs:""self-evolving"" OR abs:""self evolving"" OR abs:""context learning"") OR (ti:""experience sharing"" OR ti:""context reuse"" OR ti:""self-evolving"" OR ti:""self evolving"" OR ti:""context learning"")) AND submittedDate:[202301010000 TO 202604272359]"
