included_id	id	title	architecture_status	controlled_comparison_status	limitacoes	ameacas_validade	custo_vs_baseline	pontuacao_qualidade
I002	zelikman2024stop	Self-Taught Optimizer (STOP): Recursively Self-Improving Code Generation	arch_self_evolution_archive	yes_no_persistence_or_memory_ablation	Not full recursive self-improvement because LM weights are unchanged; improvements are stochastic and can be non-monotonic; weaker models can degrade; generated code sometimes attempts to bypass sandbox restrictions.	Small downstream task set; synthetic algorithmic utilities; results depend on model version and utility design; sandbox detection uses syntactic checks.	NR	4.5
I008	robeyns2025sica	A Self-Improving Coding Agent	arch_self_evolution_archive	yes_no_persistence_or_memory_ablation	Novel self-modification ideas are hard to generate; poor early ideas can create path dependence; benchmark timeouts may depress initial scores; much improvement comes from faster editing and cost reductions rather than only higher SWE-Bench capability; safety requires observability and evaluation gates.	Random benchmark subsets, short timeouts, cost caps, model/provider choice, and the fixed benchmark set affect external validity; no model-weight updates are studied.	Cost and time are included in the utility, but the paper does not claim a clean cost-reduction result versus a fixed baseline; average per-problem cost at iteration 0 is $1.91 and at iteration 15 is $1.70.	5.5
I010	tang2025agentkb	Agent KB: Leveraging Cross-Domain Experience for Agentic Problem Solving	arch_experience_bank	yes_no_persistence_or_memory_ablation	External experiences can cause knowledge interference; the design needs disagreement gating, conflict resolution, and adaptive eviction; results depend on source-experience quality and stronger-to-weaker transfer.	Cross-framework compatibility, source benchmark selection, generated-experience abstraction quality, model mix, and budget caps may affect transferability.	AGENT KB retrieval overhead is reported as negligible: less than 0.4% of GAIA run cost and average SWE-bench hinting cost below $0.004 per issue.	5.5
I013	yu2025satlution	Autonomous Code Evolution Meets NP-Completeness	arch_self_evolution_archive	no_no_persistence_or_nonmemory_baseline	Fully automated operation struggled; the effective setup used targeted human intervention for high-level direction; agents were prone to SAT/UNSAT correctness failures and memory errors such as segmentation faults; domain-specific idea generation remained weak.	Hardware/evaluator differences versus official SAT Competition runs, domain-specific SAT benchmarks, human steering in later stages, and repository-scale verification choices affect reproducibility and generalization.	NR	4.0
I015	jansen2025codedistiller	CodeDistiller: Automatically Generating Code Libraries for Scientific Coding Agents	arch_skill_rule_library	yes_nonmemory_external_baseline	LLM-as-judge overestimates success, especially for GPT-OSS-120B; unsuccessful examples cost more because debugging reaches hard iteration limits; domain-expert evaluation is limited to a subsample and downstream tasks are materials-science specific.	Materials-science domain focus, repository filtering, domain-expert subsampling, judge-model preference evaluation, run budget, and debug-iteration caps may affect external validity.	Claude-generated examples cost 19 times more on average than GPT-OSS examples; no downstream cost reduction claim is reported.	5.0
I017	zhang2025darwingodel	Darwin Godel Machine: Open-Ended Evolution of Self-Improving Agents	arch_self_evolution_archive	yes_no_persistence_or_memory_ablation	Requires extensive compute and significant API cost; assumes coding benchmark gains reflect better self-improvement ability; archive maintenance/parent selection is fixed rather than self-modified; safety requires sandboxing, resource limits, and human oversight.	Uses staged subsets for cost control; results depend on Claude/o3-mini models, benchmark sampling, stochastic self-modification, and sandboxed execution constraints.	DGM SWE-bench run is about $22,000 versus about $10,000 for either baseline run, so performance gains come at materially higher API cost.	5.5
I018	lin2025eco	ECO: An LLM-Driven Efficient Code Optimizer for Warehouse Scale Computers	arch_experience_bank	no_no_persistence_or_nonmemory_baseline	Operated by human engineers who choose anti-patterns and intervene when needed; all code requires code review; system is evaluated in a proprietary Google production environment; no public source release.	Production-internal codebase, sanitized examples, human-review policy, continuous profiler assumptions, anti-pattern selection, and infrastructure-specific normalized-core metric may limit external replication.	Reports normalized-core resource savings rather than per-task API cost; no direct monetary LLM-cost baseline is provided.	4.5
I019	yuksel2025evolattice	EvoLattice: Persistent Internal-Population Evolution through Multi-Alternative Quality-Diversity Graph Representations for LLM-Guided Program Discovery	arch_self_evolution_archive	yes_nonmemory_external_baseline	Combinatorial path growth creates scalability pressure; evaluating all paths becomes costly as nodes and alternatives increase; pruning introduces a tradeoff between exploration and compactness.	Training-free NAS proxy benchmark focus, synthetic/meta-learning task setup, GPT-OSS-20B configuration, and path-sampling choices may affect generalization to full agent systems.	NR	4.5
I020	ou2025k3trans	Evolving Triple Knowledge-Augmented LLMs for Code Translation in Repository Context	arch_repository_memory	yes_no_persistence_or_memory_ablation	Too many target-language code samples can introduce noise; benchmark target language is Rust only; possible data leakage between RustRepoTrans and target-language sample sources; one-iteration repair is used for cost-effectiveness.	Rust-only benchmark, possible overlap between benchmark and retrieved code samples, retrieval strategy settings, translation order randomness, and LLM choice may affect generalizability.	NR	5.0
I021	mu2025experepair	EXPEREPAIR: Dual-Memory Enhanced LLM-based Repository-Level Program Repair	arch_experience_bank	yes_no_persistence_or_memory_ablation	Less emphasis on bug localization; memories may contain a narrow subset of successful localization cases, limiting diversity and coverage.	SWE-bench Lite as sole benchmark, historical repair trajectory selection, LLM choice, cost estimates, and comparison to published baseline numbers may affect validity.	DARS has comparable 47.0% resolved rate but nearly six times higher average cost ($12.24 vs $2.07).	5.0
I022	lindenbauer2025ctimrover	From Knowledge to Noise: CTIM-Rover and the Pitfalls of Episodic Memory in Software Engineering Agents	arch_experience_bank	yes_no_persistence_or_memory_ablation	Amostra de teste pequena (45 instâncias); ~10% amostras removidas por problemas de ambiente; KD limitado a pares de trajetórias; CTIM não filtrado por relevância ao problema; não investigou retrieval baseado em embeddings como solução para ruído	Subset de SWE-bench pode não ser representativo; AutoCodeRover como único framework; distribuição desbalanceada de repositórios (django domina treino e teste); GPT-4o pode não ser ideal para destilação de conhecimento	NR	4.0
I024	wang2025huxleygodel	Huxley-Gödel Machine: Human-Level Coding Agent Development by an Approximation of the Optimal Self-Improving Machine	arch_self_evolution_archive	yes_no_persistence_or_memory_ablation	Theoretical result depends on simplifying assumptions; evaluations are costly and partially observed; optimized agents may overfit benchmark-specific behavior; results depend on selected backbones and budgets.	SWE-Verified-60 subset, Polyglot setup, local leaderboard comparisons, backbone substitutions, and CPU-hour accounting may affect external validity.	HGM is reported as 2.38x faster than DGM on SWE-Verified-60 and 6.86x faster than DGM on Polyglot in allocated CPU-hours.	5.0
I026	kernelevolve2025	KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta	arch_experience_bank	no_no_persistence_or_nonmemory_baseline	Production deployment depends on proprietary hardware, persistent internal knowledge bases, and validation infrastructure; future work is needed to quantify token consumption and optimize prompt design for minimal inference cost.	Meta-specific workloads, hardware platforms, proprietary accelerators, production validation stack, and unpublished source code may limit independent replication.	Development time is reduced from weeks to hours; no per-task API cost is reported.	4.5
I033	wang2025reflectiondriven	Reflection-Driven Control for Trustworthy Code Agents	arch_security_memory	yes_no_persistence_or_memory_ablation	Secure-code-generation setting; dynamic memory depends on reflection/verdict quality; qwen3-coder-plus pass rate decreases in the reported summary; source availability is not captured.	Scenario construction, vulnerability-class coverage, model selection, verifier quality, LLM reflection reliability, and retrieval fallback thresholds may affect validity.	Reports total cost $6.71e-2 for 125 scenarios, average $5.37e-4 per scenario, average $5.67e-4 per successful repair, and API price $1.5e-3 per 1K tokens; no direct baseline monetary comparison extracted.	4.5
