query_chunk	raw_count
family_a_coding_agent_memory__chunk01	278
family_a_coding_agent_memory__chunk02	63
family_a_coding_agent_memory__chunk03	5
family_b_generic_agent_memory_se__chunk01	146
family_b_generic_agent_memory_se__chunk02	5
family_b_generic_agent_memory_se__chunk03	7
family_b_generic_agent_memory_se__chunk04	5
family_b_generic_agent_memory_se__chunk05	3
family_b_generic_agent_memory_se__chunk06	5
family_b_generic_agent_memory_se__chunk07	19
family_b_generic_agent_memory_se__chunk08	6
family_b_generic_agent_memory_se__chunk09	3
family_b_generic_agent_memory_se__chunk10	2
family_b_generic_agent_memory_se__chunk11	15
family_b_generic_agent_memory_se__chunk12	15
family_b_generic_agent_memory_se__chunk13	11
family_b_generic_agent_memory_se__chunk14	4
family_b_generic_agent_memory_se__chunk15	4
family_c_strong_memory_se__chunk01	56
family_c_strong_memory_se__chunk02	228
family_c_strong_memory_se__chunk03	114
family_c_strong_memory_se__chunk04	79
family_c_strong_memory_se__chunk05	23
family_c_strong_memory_se__chunk06	13
