seed_id	title	year	arxiv_id	doi	seed_group	expected_status	search_recall_expectation	semantic_scholar_api_id	notes
bui2026opendev	Building Effective AI Coding Agents for the Terminal: Scaffolding, Harness, Context Engineering, and Lessons Learned	2026	2603.05344	10.48550/arXiv.2603.05344	known_included_seed	include_or_rescreen	database_query	ARXIV:2603.05344	known included seed; search should recover or explicitly justify.
chen2025sweexp	SWE-Exp: Experience-Driven Software Issue Resolution	2025	2507.23361	10.48550/arXiv.2507.23361	known_included_seed	include_or_rescreen	database_query	ARXIV:2507.23361	included study; explicit experience-driven issue-resolution seed.
deng2026memcoder	Your Code Agent Can Grow Alongside You with Structured Memory	2026	2603.13258	10.48550/arXiv.2603.13258	known_included_seed	include_or_rescreen	database_query	ARXIV:2603.13258	included study; structured-memory coding-agent seed.
deshpande2025memtrack	MemTrack: Evaluating Long-Term Memory and State Tracking in Multi-Platform Dynamic Agent Environments	2025	2510.01353	10.48550/arXiv.2510.01353	v1_included_contextual	include_or_rescreen	database_query	ARXIV:2510.01353	contextual study; multi-platform memory benchmark with Git/Linear tasks.
dong2026kernelblaster	KernelBlaster: Continual Cross-Task CUDA Optimization via Memory-Augmented In-Context Reinforcement Learning	2026	2602.14293	10.48550/arXiv.2602.14293	known_included_seed	include_or_rescreen	database_query	ARXIV:2602.14293	included study; tests CUDA/code-optimization boundary.
du2026memory	Memory for Autonomous LLM Agents: Mechanisms, Evaluation, and Emerging Frontiers	2026	2603.07670	10.48550/arXiv.2603.07670	v1_included_contextual	include_or_rescreen	citation_or_manual_allowed	ARXIV:2603.07670	Generic memory survey; may enter through citation chasing/contextual rationale rather than database query.
guo2026eet	EET: Experience-Driven Early Termination for Cost-Efficient Software Engineering Agents	2026	2601.05777	10.48550/arXiv.2601.05777	known_included_seed	include_or_rescreen	database_query	ARXIV:2601.05777	included study; experience-driven cost-efficiency seed.
hosain2025xolver	Xolver: Multi-Agent Reasoning with Holistic Experience Learning Just Like an Olympiad Team	2025	2506.14234	10.48550/arXiv.2506.14234	known_included_seed	include_or_rescreen	database_query	ARXIV:2506.14234	included study; coding/math multi-agent experience-learning boundary.
joshi2025swebenchcl	SWE-Bench-CL: Continual Learning for Coding Agents	2025	2507.00014	10.48550/arXiv.2507.00014	v1_included_contextual	include_or_rescreen	database_query	ARXIV:2507.00014	benchmark/contextual study; title-only coding-agent terms must be recovered.
li2026traversalaspolicy	Traversal-as-Policy: Log-Distilled Gated Behavior Trees as Externalized, Verifiable Policies for Safe, Robust, and Efficient Agents	2026	2603.05517	10.48550/arXiv.2603.05517	known_included_seed	include_or_rescreen	database_query	ARXIV:2603.05517	boundary architecture study.
lindenbauer2025ctimrover	From Knowledge to Noise: CTIM-Rover and the Pitfalls of Episodic Memory in Software Engineering Agents	2025	2505.23422	10.48550/arXiv.2505.23422	known_included_seed	include_or_rescreen	database_query	ARXIV:2505.23422	included study; negative-result episodic-memory seed.
nadafian2026kapso	KAPSO: A Knowledge-grounded Framework for Autonomous Program Synthesis and Optimization	2026	2601.21526	10.48550/arXiv.2601.21526	known_included_seed	include_or_rescreen	database_query	ARXIV:2601.21526	included study; program-synthesis memory seed.
qian2024iterative	Iterative Experience Refinement of Software-Developing Agents	2024	2405.04219	10.48550/arXiv.2405.04219	known_included_seed	include_or_rescreen	database_query	ARXIV:2405.04219	included study; older precursor.
shen2025talm	TALM: Dynamic Tree-Structured Multi-Agent Framework with Long-Term Memory for Scalable Code Generation	2025	2510.23010	10.48550/arXiv.2510.23010	known_included_seed	include_or_rescreen	database_query	ARXIV:2510.23010	included study; long-term-memory code-generation seed.
shen2026structurally	Structurally Aligned Subtask-Level Memory for Software Engineering Agents	2026	2602.21611	10.48550/arXiv.2602.21611	known_included_seed	include_or_rescreen	database_query	ARXIV:2602.21611	included study; subtask-level memory seed.
srivastava2025memorygraft	MemoryGraft: Persistent Compromise of LLM Agents via Poisoned Experience Retrieval	2025	2512.16962	10.48550/arXiv.2512.16962	v1_included_contextual	include_or_rescreen	database_query	ARXIV:2512.16962	contextual/security study; poisoning seed.
su2025learnbyinteract	Learn-by-interact: A Data-Centric Framework for Self-Adaptive Agents in Realistic Environments	2025	2501.10893	10.48550/arXiv.2501.10893	known_included_seed	include_or_rescreen	database_query	ARXIV:2501.10893	included study; self-adaptive agent experience seed.
tablan2025smarter	Smarter Together: Creating Agentic Communities of Practice through Shared Experiential Learning	2025	2511.08301	10.48550/arXiv.2511.08301	known_included_seed	include_or_rescreen	database_query	ARXIV:2511.08301	included study; shared experiential learning seed.
vasilopoulos2026codified	Codified Context: Infrastructure for AI Agents in a Complex Codebase	2026	2602.20478	10.48550/arXiv.2602.20478	known_included_seed	include_or_rescreen	database_query	ARXIV:2602.20478	included study; context infrastructure seed.
wang2025repositorymemory	Improving Code Localization with Repository Memory	2025	2510.01003	10.48550/arXiv.2510.01003	known_included_seed	include_or_rescreen	database_query	ARXIV:2510.01003	included study; repository-memory seed.
wang2026codemem	CodeMEM: AST-Guided Adaptive Memory for Repository-Level Iterative Code Generation	2026	2601.02868	10.48550/arXiv.2601.02868	known_included_seed	include_or_rescreen	database_query	ARXIV:2601.02868	manual-addition seed; search should recover if possible.
