included_id	id	title	reporta_dados_custo	tokens_entrada_por_tarefa	tokens_saida_por_tarefa	custo_por_tarefa	reducao_tokens	custo_vs_baseline	pontuacao_qualidade
I003	zhang2024agilegen	Empowering Agile-Based Generative Software Development through Human-AI Teamwork	sim_detalhado	NR	NR	AgileGen GPT3.5 average cost $0.0110; AgileGen GPT4 average cost $0.1490 on 50projects50days execution-performance comparison.	NR	AgileGen GPT3.5 reports $0.0110 average cost, lower than AutoGPT GPT3.5 ($0.0442), ChatDev_23 ($0.0259), and ChatDev_24 ($0.0192), but higher than GPT3.5+CoT ($0.0028).	5.0
I008	robeyns2025sica	A Self-Improving Coding Agent	sim	NR; Table 1 reports average total tokens per benchmark problem from 0.22M to 0.30M, not split into input/output.	NR; token totals are not split into input/output.	Average per-problem cost ranges from $1.58 to $2.70 across iterations; the 15-iteration API run cost approximately $7,000.	NR; cached-token percentage is reported but no explicit token-reduction baseline is given.	Cost and time are included in the utility, but the paper does not claim a clean cost-reduction result versus a fixed baseline; average per-problem cost at iteration 0 is $1.91 and at iteration 15 is $1.70.	5.5
I009	zhang2025accelopt	AccelOpt: A Self-Improving LLM Agentic System for AI Accelerator Kernel Optimization	sim_detalhado	NR	NR	$96.10-$223.23 por configuração completa (14 kernels, variando por executor/ExpN)	NR	26x mais barato que Claude Sonnet 4 com desempenho equivalente ($139 AccelOpt vs ~$1733 Claude Sonnet 4); memória economiza 16-17% do custo vs beam search puro	5.5
I010	tang2025agentkb	Agent KB: Leveraging Cross-Domain Experience for Agentic Problem Solving	sim	GAIA evaluation averages 212,586 prompt tokens per task including action loop/log summary/planning/feedback; SWE-bench hinting averages 4,184 prompt tokens per issue.	GAIA evaluation averages 42,221 completion tokens per task; SWE-bench hinting averages 530 completion tokens per issue.	GAIA evaluation averages $0.52 per task, with retrieval loop adding about $0.27 over the full validation run; SWE-bench hinting averages $0.0037 per issue.	NR; paper reports low marginal hint cost and short prompts but not token reduction versus baseline.	AGENT KB retrieval overhead is reported as negligible: less than 0.4% of GAIA run cost and average SWE-bench hinting cost below $0.004 per issue.	5.5
I015	jansen2025codedistiller	CodeDistiller: Automatically Generating Code Libraries for Scientific Coding Agents	sim	NR	NR	Successful-case average cost: GPT-OSS-120B $0.09, GPT-5 $0.70, Claude 4.5 $1.71; downstream runs allow up to $5 of LLM-associated costs per run.	NR	Claude-generated examples cost 19 times more on average than GPT-OSS examples; no downstream cost reduction claim is reported.	5.0
I016	wong2025confucius	Confucius Code Agent: Scalable Agent Scaffolding for Real-World Codebases	sim_parcial	~104k tokens (Run 1 sem notas); ~93k tokens (Run 2 com notas)	NR	NR	-11k tokens/tarefa (104k→93k) com notas persistentes da Run 1 aplicadas na Run 2	NR	5.5
I017	zhang2025darwingodel	Darwin Godel Machine: Open-Ended Evolution of Self-Improving Agents	sim	NR	NR	Estimated cost for one SWE-bench DGM run is about $22,000; each baseline SWE-bench run is about $10,000; one 60-task SWE-bench evaluation costs about $350 and one 60-task Polyglot evaluation about $5.	NR	DGM SWE-bench run is about $22,000 versus about $10,000 for either baseline run, so performance gains come at materially higher API cost.	5.5
I018	lin2025eco	ECO: An LLM-Driven Efficient Code Optimizer for Warehouse Scale Computers	sim	NR	NR	NR as monetary LLM cost; deployment reports over 2M normalized cores saved, over 500k normalized cores per quarter, and fleet-wide resource savings from 6.4k landed commits.	NR	Reports normalized-core resource savings rather than per-task API cost; no direct monetary LLM-cost baseline is provided.	4.5
I021	mu2025experepair	EXPEREPAIR: Dual-Memory Enhanced LLM-based Repository-Level Program Repair	sim	NR	NR	Average inference cost is $2.07 per SWE-bench Lite instance with Claude 3.5 Sonnet V2.	NR	DARS has comparable 47.0% resolved rate but nearly six times higher average cost ($12.24 vs $2.07).	5.0
I023	wu2025gcc	Git Context Controller: Manage the Context of LLM-based Agents like Git	sim_detalhado	~386-547K tokens/task (SWE-Benchlite, varia por modelo)	NR	$0.57/task (GPT-3.5), $1.13/task (GPT-4o), $1.21/task (Claude 3.5 Sonnet) em SWE-Benchlite	NR	$1.21/task vs $1.62 SWE-Agent, $2.51 Agentless em SWE-Benchlite (Claude 3.5 S); custo comparável aos melhores open-source apesar de performance muito superior	5.5
I024	wang2025huxleygodel	Huxley-Gödel Machine: Human-Level Coding Agent Development by an Approximation of the Optimal Self-Improving Machine	sim	NR	NR	NR as monetary cost; reports allocated CPU-hours: HGM 517 hours on SWE-Verified-60 and 347 hours on Polyglot for 800 evaluations.	NR	HGM is reported as 2.38x faster than DGM on SWE-Verified-60 and 6.86x faster than DGM on Polyglot in allocated CPU-hours.	5.0
I025	wang2025repositorymemory	Improving Code Localization with Repository Memory	sim_parcial	NR	NR	$0.58-$0.89/exemplo (RepoMem) vs $0.54-$0.59/exemplo (LocAgent); custo maior concentrado em problemas difíceis onde LocAgent falha	NR	Custo maior em problemas difíceis ($0.54→$0.89 quando LocAgent falha); alta variância por exemplo; memória é investimento estratégico em problemas difíceis	5.0
I026	kernelevolve2025	KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta	sim	NR; context windows are managed within 64K-1M token budgets depending on the model.	NR	NR as per-task monetary cost; reports development time reduced from weeks to hours and production speedups up to 17x.	NR; paper states persistent storage reduces redundant token consumption and future work will quantify token consumption per kernel.	Development time is reduced from weeks to hours; no per-task API cost is reported.	4.5
I033	wang2025reflectiondriven	Reflection-Driven Control for Trustworthy Code Agents	sim_detalhado	NR	NR	Average cost per scenario $5.37e-4; average cost per successful repair $5.67e-4; total token usage 4.48e4 tokens over 125 scenarios.	NR; paper reports minimal runtime and token overhead rather than token reduction.	Reports total cost $6.71e-2 for 125 scenarios, average $5.37e-4 per scenario, average $5.67e-4 per successful repair, and API price $1.5e-3 per 1K tokens; no direct baseline monetary comparison extracted.	4.5
I037	chen2025sweexp	SWE-Exp: Experience-Driven Software Issue Resolution	sim_detalhado	203.3K avg tokens (SWE-Exp com DeepSeek-V3-0324)	NR	$0.13 avg per issue (DeepSeek-V3-0324)	NR (overhead leve: 203.3K vs 189.1K tokens, +7.5%)	$0.13 vs $0.12 per issue com DeepSeek (+8.3%); wall time 15min49s vs 12min37s (+25%); retrieval+rerank overhead 37.5s avg	6.0
I039	shen2025talm	TALM: Dynamic Tree-Structured Multi-Agent Framework with Long-Term Memory for Scalable Code Generation	sim_parcial	NR (significativamente menor que MapCoder conforme Figure 4)	NR	NR	~50% menos tokens que MapCoder em ClassEval (Figure 4); overhead marginal com memória habilitada vs sem	~50% menos tokens totais que MapCoder em ClassEval; overhead marginal de memória vs TALM sem memória	4.5
I040	zhou2025tomswe	TOM-SWE: User Mental Modeling For Software Engineering Agents	sim_detalhado	NR	NR	$0.02 (GPT-5-nano ToM) a $0.17 (Claude Sonnet 4 ToM) overhead por sessão; ~16% do custo total SWE ($1.08 avg)	NR	$0.17 overhead ToM por sessão (~16% do custo total); GPT-5-nano ToM ($0.02) atinge 38.0% resolve rate no Stateful SWE; custo marginal para ganhos substanciais	5.5
I041	cao2025hxagent	Toward Generation of Test Cases from Task Descriptions via History-aware Planning	sim_parcial	Average 800,000 prompt tokens per task/application across training and evaluation phases.	Average 22,000 output tokens per task/application across training and evaluation phases.	No monetary cost reported; average token consumption is 800,000 prompt tokens and 22,000 output tokens.	NR	NR as direct baseline cost; token consumption is reported but not compared against baseline token use.	5.0
I042	hosain2025xolver	Xolver: Multi-Agent Reasoning with Holistic Experience Learning Just Like an Olympiad Team	sim_parcial	~45-135k tokens totais por problema (input+think+output combinados, varia por dataset e backbone; Figure 8)	NR (reportado combinado com input/think)	NR	NR (~1.5× tokens vs Search-o1 single-agent, mas com ganhos substanciais de performance)	~1.5× tokens vs Search-o1; complexidade de update O(mI) vs O(n²) do CheatSheet; runtime parallelizável entre agentes	5.5
