audit_section	label	included_id	id	title	audit_status	evidence_snippet
controlled_comparison	yes_no_persistence_or_memory_ablation	I001	shinn2023reflexion	Reflexion: Language Agents with Verbal Reinforcement Learning	reviewed	Baseline agents without Reflexion; GPT-4 single-sample code generation; CoT / episodic-memory ablations; previous SOTA systems such as CodeT and CodeRL | HumanEval Python improves from GPT-4 80.1% pass@1 to 91.0% (+10.9pp); HumanEval Rust improves from GPT-4 60.0% to 68.0% (+8.0pp); LeetcodeHard Python improves from...
controlled_comparison	yes_no_persistence_or_memory_ablation	I002	zelikman2024stop	Self-Taught Optimizer (STOP): Recursively Self-Improving Code Generation	reviewed	Seed improver I0; chain-of-thought baseline; greedy iterative improver; GPT-3.5 and Mixtral comparisons | Improved improvers outperform the seed improver on all transfer tasks reported in Table 1; on LPN, the paper reports consistent mean downstream performance improvement with GPT-4. | Extracted evidence names a no...
controlled_comparison	yes_no_persistence_or_memory_ablation	I004	li2024falcon	FALCON: Feedback-driven Adaptive Long/short-term memory reinforced Coding OptimizatioN	reviewed	CodeT5 base, PPOCoder, CodeRL, RLTF, DeepSeek-Coder-Instruct without FALCON | HumanEval improves from RLTF 76.8 to 82.9 (+6.1pp); MBPP improves from RLTF 75.9 to 80.7 (+4.8pp); APPS all pass@1 improves from RLTF 3.27 to 3.50 (+0.23pp). | Extracted evidence names a no-memory/no-persistence comparator or a memory-comp...
controlled_comparison	yes_nonmemory_external_baseline	I003	zhang2024agilegen	Empowering Agile-Based Generative Software Development through Human-AI Teamwork	reviewed	AutoGPT, ChatDev_23, ChatDev_24, GPT-Engineer, GPT3.5+CoT, GPT4+CoT, GPT4o+CoT, ablations | AgileGen GPT3.5 outperforms ChatDev_24 GPT3.5 by +0.089 CodeBLEU and +16.4pp Pass@1; AgileGen GPT4 outperforms GPT4o+CoT by +0.105 CodeBLEU and +24.7pp Pass@1. | Extracted evidence reports quantitative comparison against exte...
controlled_comparison	yes_nonmemory_external_baseline	I007	wu2024sail	Skill-Adpative Imitation Learning for UI Test Reuse	reviewed	CraftDroid, SemFinder, CraftDroid-SemFinder, CraftDroid-DeepSeek-V2, CraftDroid-GPT-4o-mini, TraceDroid, TargetDroid | SAIL-DeepSeek-V2 improves over CraftDroid 25.5% to 63.6% overall (+38.1pp; reported as 149% higher SR). In non-1-to-1 mappings, SAIL-GPT-4o reaches 55.6% versus CraftDroid 14.1% (reported as 294% im...
controlled_comparison	yes_nonmemory_external_baseline	I015	jansen2025codedistiller	CodeDistiller: Automatically Generating Code Libraries for Scientific Coding Agents	reviewed	Different CodeDistiller base models; downstream CodeScientist with generic materials-science examples versus CodeDistiller-generated examples. | Downstream A/B preference proportions favor CodeDistiller over the generic-example baseline for accuracy (0.50 vs 0.26), completeness (0.46 vs 0.16), and soundness (0.50 vs...
controlled_comparison	no_no_persistence_or_nonmemory_baseline	I005	qian2024iterative	Iterative Experience Refinement of Software-Developing Agents	reviewed	GPTEngineer, MetaGPT, ChatDev, ECL (Experiential Co-Learning) | +36.6% Quality vs ChatDev (0.6372 vs 0.4665); +10.3% Quality vs ECL (0.6372 vs 0.5775); +11% Executability vs ECL (0.9146 vs 0.8643) | Extracted evidence does not document a no-persistence or non-memory baseline suitable for the controlled-comparison de...
controlled_comparison	no_no_persistence_or_nonmemory_baseline	I013	yu2025satlution	Autonomous Code Evolution Meets NP-Completeness	reviewed	Human-designed SAT Competition 2024 solvers; SAT Competition 2025 winner and runner-up; AlphaEvolve comparison at capability level. | On the SAT Competition 2025 comparison, the top evolved solvers solve 347, 345, and 344 instances, compared with 334 and 331 instances for the gold and silver 2025 winners; figures re...
controlled_comparison	no_no_persistence_or_nonmemory_baseline	I018	lin2025eco	ECO: An LLM-Driven Efficient Code Optimizer for Warehouse Scale Computers	reviewed	Human baseline for microbenchmark edits; historical production changes; retrieval baselines including bag-of-words, deep text embeddings, and deep code embeddings; production before/after profiler measurements. | Production deployment reports over 2M normalized cores saved, more than 500k normalized cores saved per...
performance_normalization	count_only	I093	yan2026slump	When the Specification Emerges: Benchmarking Faithfulness Loss in Long-Horizon Coding Agents	reviewed	ProjectGuard improves Claude IF50 on 15 of 20 papers; single-shot comparison remains a boundary adverse result. | Single-shot outperforms emergent specification on 16 of 20 papers for Claude Code and 14 of 20 for Codex. ProjectGuard improves Claude IF50 on 15 of 20 papers; Codex semantic gains are small but DIR impr...
performance_normalization	insufficient_numeric_baseline	I019	yuksel2025evolattice	EvoLattice: Persistent Internal-Population Evolution through Multi-Alternative Quality-Diversity Graph Representations for LLM-Guided Program Discovery	reviewed	Baseline scores are recorded, but the EvoLattice absolute score is not in the extracted text. | EvoLattice exceeds AlphaEvolve-style diff evolution (0.11 ±0.06), ShinkaEvolve-like parent sampling (0.12 ±0.05), FunSearch-style proxy generation (0.09 ±0.07), and LPZero (0.10 ±0.05).
performance_normalization	insufficient_numeric_baseline	I060	wang2026effiskill	EffiSkill: Agent Skill Based Automated Code Efficiency Optimization	reviewed	The extracted text says EffiSkill outperforms listed baselines but does not include a comparable baseline value. | With GPT-5-mini, EffiSkill reaches Python OPT@1/OPT@8 of 26.48/37.40 and C++ OPT@1/OPT@8 of 44.62/66.77. With Qwen3-Coder, it reaches Python 21.35/36.60 and C++ 34.19/56.50, outperforming Instruction, R...
performance_normalization	low_confidence	I055	jiang2026darwin	DARWIN: Dynamic Agentically Rewriting Self-Improving Network	reviewed	Removing persistent memory produced about 3% worse performance; authors caution the result is not statistically meaningful. | The paper reports a 2.07 percent reduction in perplexity and a 1.26 percent reduction in MFU; removing persistent memory produced about 3 percent worse performance, but the authors caution th...
performance_normalization	lower_bound	I080	hao2026recreate	ReCreate: Reasoning and Creating Domain Agents Driven by Experience	reviewed	Extracted text states ReCreate improves over ADAS/AgentSquare averages by more than seven points. | On SWE subsets, ReCreate reaches 60.19 on Django and 63.64 on SymPy, exceeding the best baseline in each row. It also improves over ADAS and AgentSquare averages by more than seven points.
performance_normalization	normalized_candidate	I001	shinn2023reflexion	Reflexion: Language Agents with Verbal Reinforcement Learning	reviewed	Representative signed percentage-point candidate retained from extraction: +10.9pp. | HumanEval Python improves from GPT-4 80.1% pass@1 to 91.0% (+10.9pp); HumanEval Rust improves from GPT-4 60.0% to 68.0% (+8.0pp); LeetcodeHard Python improves from GPT-4 7.5% to 15.0% (+7.5pp). | signed_percentage_points: +10.9pp;...
performance_normalization	normalized_candidate	I003	zhang2024agilegen	Empowering Agile-Based Generative Software Development through Human-AI Teamwork	reviewed	Representative signed percentage-point candidate retained from extraction: +16.4pp. | AgileGen GPT3.5 outperforms ChatDev_24 GPT3.5 by +0.089 CodeBLEU and +16.4pp Pass@1; AgileGen GPT4 outperforms GPT4o+CoT by +0.105 CodeBLEU and +24.7pp Pass@1. | signed_percentage_points: +16.4pp; +24.7pp
performance_normalization	normalized_manual	I012	kong2025alphaopt	AlphaOPT: Formulating Optimization Programs with Self-Improving LLM Experience Library	reviewed	Removing refinement reduces out-of-distribution macro from 74.8 to 70.5; effect recorded as full minus ablated. | AlphaOPT exceeds ExpeL on test micro/macro averages (80.1/76.4 vs 69.9/66.3) and out-of-distribution micro/macro averages (86.5/74.8 vs 74.3/64.1). Removing refinement reduces out-of-distribution macro f...
performance_normalization	normalized_manual	I015	jansen2025codedistiller	CodeDistiller: Automatically Generating Code Libraries for Scientific Coding Agents	reviewed	Representative A/B preference delta uses accuracy: 0.50 vs 0.26. | Downstream A/B preference proportions favor CodeDistiller over the generic-example baseline for accuracy (0.50 vs 0.26), completeness (0.46 vs 0.16), and soundness (0.50 vs 0.30), with ties making up the remainder.
performance_normalization	qualitative_only	I002	zelikman2024stop	Self-Taught Optimizer (STOP): Recursively Self-Improving Code Generation	reviewed	Table-level transfer improvement is reported, but the extracted text lacks a comparable numeric delta. | Improved improvers outperform the seed improver on all transfer tasks reported in Table 1; on LPN, the paper reports consistent mean downstream performance improvement with GPT-4.
performance_normalization	qualitative_only	I056	shen2026decocted	Decocted Experience Improves Test-Time Inference in LLM Agents	reviewed	Lesson-based context consistently outperforms raw trajectories and vanilla context-free agents in extracted text. | On WebShop and SWE, lesson-based context consistently outperforms raw trajectories and vanilla context-free agents. Concept-tree retrieval improves over top-k lesson retrieval on WebShop and shows a no...
benchmark_normalization	SWE-bench Verified	I008	robeyns2025sica	A Self-Improving Coding Agent	reviewed	SWE-Bench Verified subset, LiveCodeBench, synthetic file-editing benchmark, synthetic symbol-location benchmark
benchmark_normalization	SWE-bench Verified	I016	wong2025confucius	Confucius Code Agent: Scalable Agent Scaffolding for Real-World Codebases	reviewed	SWE-Bench-Pro (731 tasks), SWE-Bench-Verified (500 tasks), PyTorch-Bench (custom)
benchmark_normalization	SWE-bench Verified	I017	zhang2025darwingodel	Darwin Godel Machine: Open-Ended Evolution of Self-Improving Agents	reviewed	SWE-bench Verified, Polyglot
benchmark_normalization	SWE-bench Lite	I006	lin2024evocoder	LLMs as Continuous Learners: Improving the Reproduction of Defective Code in Software Issues	reviewed	SWE-bench Lite issue reproduction; issue-resolving evaluation with AutoCodeRover and Agentless
benchmark_normalization	SWE-bench Lite	I010	tang2025agentkb	Agent KB: Leveraging Cross-Domain Experience for Agentic Problem Solving	reviewed	SWE-bench Lite, GAIA, Humanity's Last Exam Bio/Chem, GPQA
benchmark_normalization	SWE-bench Lite	I021	mu2025experepair	EXPEREPAIR: Dual-Memory Enhanced LLM-based Repository-Level Program Repair	reviewed	SWE-bench Lite
benchmark_normalization	HumanEval	I001	shinn2023reflexion	Reflexion: Language Agents with Verbal Reinforcement Learning	reviewed	AlfWorld, HotPotQA, HumanEval, MBPP, LeetcodeHardGym
benchmark_normalization	HumanEval	I004	li2024falcon	FALCON: Feedback-driven Adaptive Long/short-term memory reinforced Coding OptimizatioN	reviewed	APPS, HumanEval, MBPP, CODAL-Bench
benchmark_normalization	HumanEval	I039	shen2025talm	TALM: Dynamic Tree-Structured Multi-Agent Framework with Long-Term Memory for Scalable Code Generation	reviewed	HumanEval (164), BigCodeBench (1140), ClassEval (100)
benchmark_normalization	MBPP	I001	shinn2023reflexion	Reflexion: Language Agents with Verbal Reinforcement Learning	reviewed	AlfWorld, HotPotQA, HumanEval, MBPP, LeetcodeHardGym
benchmark_normalization	MBPP	I004	li2024falcon	FALCON: Feedback-driven Adaptive Long/short-term memory reinforced Coding OptimizatioN	reviewed	APPS, HumanEval, MBPP, CODAL-Bench
benchmark_normalization	MBPP	I070	chang2026memcollab	MemCollab: Cross-Agent Memory Collaboration via Contrastive Trajectory Distillation	reviewed	MATH500, GSM8K, MBPP, HumanEval
cost_classification	compute_or_resource	I009	zhang2025accelopt	AccelOpt: A Self-Improving LLM Agentic System for AI Accelerator Kernel Optimization	reviewed	$96.10-$223.23 por configuração completa (14 kernels, variando por executor/ExpN) | 26x mais barato que Claude Sonnet 4 com desempenho equivalente ($139 AccelOpt vs ~$1733 Claude Sonnet 4); memória economiza 16-17% do custo vs beam search puro
cost_classification	compute_or_resource	I018	lin2025eco	ECO: An LLM-Driven Efficient Code Optimizer for Warehouse Scale Computers	reviewed	NR as monetary LLM cost; deployment reports over 2M normalized cores saved, over 500k normalized cores per quarter, and fleet-wide resource savings from 6.4k landed commits. | Reports normalized-core resource savings rather than per-task API cost; no direct monetary LLM-cost baseline is provided.
