full_text_id	screening_id	dedup_group	title	year	authors	venue	doi	arxiv_id	sources	source_files	provenance	duplicate_row_count	title_abstract_decision	title_abstract_rationale	has_abstract	needs_metadata_lookup	retrieval_priority	retrieval_status	pdf_path	text_path	full_text_decision	ci1_persistence	ci2_evaluation	ci3_year	ci4_language	ci5_publication_type	ce1_no_cross_session_persistence	ce2_not_software_dev	ce3_no_evaluation	ce4_tutorial_editorial_or_descriptive_survey	ce5_duplicate_or_superseded	exclusion_code	full_text_rationale	reviewer	reviewed_at_utc	notes
FT0001	TA00310	D00310	Reflexion: Language Agents with Verbal Reinforcement Learning	2023	Noah Shinn; Federico Cassano; Beck Labash; A. Gopinath; Karthik Narasimhan; Shunyu Yao	arXiv	10.48550/arXiv.2303.11366	2303.11366	arxiv_chunk; citations; scopus	search/arxiv-query-chunk-results.tsv; search/results-citations.json; search/scopus-results-family-b-generic-agent-memory-se.json	cs.AI;cs.CL;cs.LG; backward | backward_from=deshpande2025memtrack;du2026memory;li2026traversalaspolicy;lindenbauer2025ctimrover;shen2026structurally;wang2026memgovern;zhang2025accelopt;zhang2026textbfgs;weng2026groupevolving;memorytransfer2026; family_b_generic_agent_memory_se; Conference Paper	4	include	Reflexion maintains episodic verbal memory across trials and evaluates coding tasks including HumanEval.	yes	no	1_include	ok	search/full-texts/pdf/FT0001_TA00310_reflexion-language-agents-with-verbal-reinforcement-learning.pdf	search/full-texts/text/FT0001_TA00310_reflexion-language-agents-with-verbal-reinforcement-learning.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes self-reflection converted into semantic experience summaries stored in long-term episodic memory and reused in subsequent trials, with HumanEval coding evaluation.	codex_full_text_002	2026-04-28T21:44:18Z	Calibration batch 001. | retrieval ok via arxiv | Full-text batch 002 high-confidence include records.
FT0002	TA00018	D00018	Iterative Experience Refinement of Software-Developing Agents	2024		arXiv	10.48550/arXiv.2405.04219	2405.04219	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.CL;cs.AI;cs.MA;cs.SE	1	include	Iterative Experience Refinement maintains and refines experience stores for software-developing agents across task batches.	yes	no	1_include	ok	search/full-texts/pdf/FT0002_TA00018_iterative-experience-refinement-of-software-developing-agents.pdf	search/full-texts/text/FT0002_TA00018_iterative-experience-refinement-of-software-developing-agents.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes Iterative Experience Refinement for software-developing agents, accumulating and refining experiences across task batches and evaluating software-development task performance.	codex_full_text_002	2026-04-28T21:44:18Z	Calibration batch 005. | retrieval ok via arxiv | Full-text batch 002 high-confidence include records.
FT0003	TA00466	D00466	FALCON: Feedback-driven Adaptive Long/short-term memory reinforced Coding Optimization system	2024		arXiv	10.48550/arXiv.2410.21349	2410.21349	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.LG;cs.AI;cs.PF	0	include	FALCON explicitly combines adaptive long-term and short-term memory for coding optimization with empirical code-generation results.	yes	no	1_include	ok	search/full-texts/pdf/FT0003_TA00466_falcon-feedback-driven-adaptive-long-short-term-memory-reinforced-coding-optimiz.pdf	search/full-texts/text/FT0003_TA00466_falcon-feedback-driven-adaptive-long-short-term-memory-reinforced-coding-optimiz.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes FALCON as a coding-optimization system with explicit long-term and short-term memory buffers that store historical tasks, errors, and feedback for later code-generation improvement with empirical evaluation.	codex_full_text_002	2026-04-28T21:44:18Z	Calibration batch 005. | retrieval ok via arxiv | Full-text batch 002 high-confidence include records.
FT0004	TA00540	D00540	Skill-Adpative Imitation Learning for UI Test Reuse	2024		arXiv	10.48550/arXiv.2409.13311	2409.13311	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.SE	1	include	SAIL extracts and reuses learned UI-testing skills through a knowledge base and history-aware adaptation for test migration.	yes	no	1_include	ok	search/full-texts/pdf/FT0004_TA00540_skill-adpative-imitation-learning-for-ui-test-reuse.pdf	search/full-texts/text/FT0004_TA00540_skill-adpative-imitation-learning-for-ui-test-reuse.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes SAIL extracting and archiving UI-testing skills in a memory/knowledge base from source test cases and reusing them for later target-app test generation, with evaluation against baselines.	codex_full_text_002	2026-04-28T21:44:18Z	Calibration batch 005. | retrieval ok via arxiv | Full-text batch 002 high-confidence include records.
FT0005	TA01356	D01356	LLMs as Continuous Learners: Improving the Reproduction of Defective Code in Software Issues	2024	Yalan Lin; Yingwei Ma; Rongyu Cao; Binhua Li; Fei Huang; Xiaodong Gu; Yongbin Li		10.48550/arxiv.2411.13941	2411.13941	citations	search/results-citations.json	backward | backward_from=chen2025sweexp;mu2025experepair	0	include	Multi-agent software-issue reproduction system uses reflection and common plus repository-specific experience pools learned from previously resolved problems.	yes	no	1_include	ok	search/full-texts/pdf/FT0005_TA01356_llms-as-continuous-learners-improving-the-reproduction-of-defective-code-in-soft.pdf	search/full-texts/text/FT0005_TA01356_llms-as-continuous-learners-improving-the-reproduction-of-defective-code-in-soft.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes EvoCoder accumulating prior issue-reproduction trajectories into common and repository-specific experience pools that are updated and reused on later software issues, with SWE-bench evaluation.	codex_full_text_002	2026-04-28T21:44:18Z	Batch 011 citation-only with abstracts. | retrieval ok via arxiv | Full-text batch 002 high-confidence include records.
FT0006	TA00077	D00077	From Knowledge to Noise: CTIM-Rover and the Pitfalls of Episodic Memory in Software Engineering Agents	2025	Tobias Lindenbauer; Georg Groh; Hinrich Schütze	arXiv	10.48550/arXiv.2505.23422	2505.23422	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.SE;cs.AI; forward | forward_from=su2025learnbyinteract	3	include	CTIM-Rover proposes repository-level cross-task-instance memory for SWE agents and reports negative empirical results.	yes	no	1_include	ok	search/full-texts/pdf/FT0006_TA00077_from-knowledge-to-noise-ctim-rover-and-the-pitfalls-of-episodic-memory-in-softwa.pdf	search/full-texts/text/FT0006_TA00077_from-knowledge-to-noise-ctim-rover-and-the-pitfalls-of-episodic-memory-in-softwa.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes CTIM-Rover as a software-engineering agent with cross-task-instance episodic memory distilled from prior SWE-bench experiences and reports negative empirical results, which remain eligible evidence.	codex_full_text_002	2026-04-28T21:44:18Z	Calibration batch 001. | retrieval ok via arxiv | Full-text batch 002 high-confidence include records.
FT0007	TA00084	D00084	SWE-Bench-CL: Continual Learning for Coding Agents	2025	Thomas T. Joshi; Shayan Chowdhury; Fatih Uysal	arXiv	10.48550/arXiv.2507.00014	2507.00014	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.LG;cs.AI;cs.SE; backward | backward_from=deshpande2025memtrack;shen2026structurally	5	include	SWE-Bench-CL evaluates continual-learning memory for coding agents and includes a semantic memory module and persistence metrics.	yes	no	1_include	ok	search/full-texts/pdf/FT0007_TA00084_swe-bench-cl-continual-learning-for-coding-agents.pdf	search/full-texts/text/FT0007_TA00084_swe-bench-cl-continual-learning-for-coding-agents.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text introduces SWE-Bench-CL as a continual-learning benchmark and evaluation framework for coding agents with semantic memory, measuring experience accumulation and transfer across tasks.	codex_full_text_002	2026-04-28T21:44:18Z	Calibration batch 001. | retrieval ok via arxiv | Full-text batch 002 high-confidence include records.
FT0008	TA00093	D00093	Prometheus: Towards Long-Horizon Codebase Navigation for Repository-Level Problem Solving	2025	Yue Pan; Zimin Chen; Siyu Lu; Zhaoyang Chu; Xiang Li; Han Li; Yang Feng; Claire Le Goues; Federica Sarro; Martin Monperrus; He Ye	arXiv	10.48550/arXiv.2507.19942	2507.19942	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.SE; forward | forward_from=chen2025sweexp;xia2025livesweagent;mu2025experepair	3	include	Prometheus is a memory-centric coding-agent framework for long-horizon codebase navigation.	yes	no	1_include	ok	search/full-texts/pdf/FT0008_TA00093_prometheus-towards-long-horizon-codebase-navigation-for-repository-level-problem.pdf	search/full-texts/text/FT0008_TA00093_prometheus-towards-long-horizon-codebase-navigation-for-repository-level-problem.txt	exclude	no	yes	yes	yes	yes	yes	no	no	no	no	CE1	Full text frames Prometheus memory as working memory for retaining and reusing explored repository context across reasoning steps within long-horizon issue navigation; it does not show cross-session or independent-task write-back persistence.	codex_full_text_002	2026-04-28T21:44:18Z	Calibration batch 001. | retrieval ok via arxiv | Full-text batch 002 high-confidence include records.
FT0009	TA00096	D00096	SWE-Exp: Experience-Driven Software Issue Resolution	2025	Silin Chen; Shaoxin Lin; Xiaodong Gu; Yuling Shi; Heng Lian; Longfei Yun; Dong Chen; Wei Sun; Linbo Cao; Qianxiang Wang	arXiv	10.48550/arXiv.2507.23361	2507.23361	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.SE;cs.CL;cs.LG; backward+forward | forward_from=zhang2025darwingodel;tang2025agentkb | backward_from=shen2026structurally;wang2026memgovern;ouyang2026reasoningbank;memorytransfer2026	9	include	SWE-Exp stores prior repair trajectories in an experience bank and evaluates issue-resolution performance.	yes	no	1_include	ok	search/full-texts/pdf/FT0009_TA00096_swe-exp-experience-driven-software-issue-resolution.pdf	search/full-texts/text/FT0009_TA00096_swe-exp-experience-driven-software-issue-resolution.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes SWE-Exp as an issue-resolution system that distills successful and failed prior repair trajectories into an evolving experience bank and reuses them across later SWE-bench issues.	codex_full_text_002	2026-04-28T21:44:18Z	Calibration batch 001. | retrieval ok via arxiv | Full-text batch 002 high-confidence include records.
FT0010	TA00127	D00127	TOM-SWE: User Mental Modeling For Software Engineering Agents	2025		arXiv	10.48550/arXiv.2510.21903	2510.21903	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.SE;cs.AI	1	include	ToM-SWE maintains persistent user mental-state memory for software-engineering agents and evaluates on SWE benchmarks.	yes	no	1_include	ok	search/full-texts/pdf/FT0010_TA00127_tom-swe-user-mental-modeling-for-software-engineering-agents.pdf	search/full-texts/text/FT0010_TA00127_tom-swe-user-mental-modeling-for-software-engineering-agents.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes ToM-SWE maintaining a persistent user mental-state memory across multiple software-engineering sessions and evaluates it on stateful and ambiguous SWE benchmarks.	codex_full_text_002	2026-04-28T21:44:18Z	Calibration batch 003. | retrieval ok via arxiv | Full-text batch 002 high-confidence include records.
