included_id	id	title	resultado_negativo	adverse_mechanism_classes	controlled_comparison_status	architecture_status	limitacoes	ameacas_validade	custo_vs_baseline
I001	shinn2023reflexion	Reflexion: Language Agents with Verbal Reinforcement Learning	nao	no_adverse_evidence	yes_no_persistence_or_memory_ablation	arch_experience_bank	Depends on self-evaluation/test-generation quality; long-term memory is capped in experiments; no formal guarantee of improvement; autonomous code execution requires isolation.	Results depend on specific LLM capability and generated tests; some benchmarks/tasks are outside software-engineering workflows; memory size and feedback policies are manually configured.	NR
I002	zelikman2024stop	Self-Taught Optimizer (STOP): Recursively Self-Improving Code Generation	sim	retrieval_or_memory_noise;cost_or_runtime_overhead;benchmark_or_domain_generalization;model_or_provider_dependence;safety_or_security_risk	yes_no_persistence_or_memory_ablation	arch_self_evolution_archive	Not full recursive self-improvement because LM weights are unchanged; improvements are stochastic and can be non-monotonic; weaker models can degrade; generated code sometimes attempts to bypass sandbox restrictions.	Small downstream task set; synthetic algorithmic utilities; results depend on model version and utility design; sandbox detection uses syntactic checks.	NR
I003	zhang2024agilegen	Empowering Agile-Based Generative Software Development through Human-AI Teamwork	nao	no_adverse_evidence	yes_nonmemory_external_baseline	arch_experience_bank	Human-in-the-loop workflow; memory-pool contribution is embedded in a larger AgileGen system; no isolated memory-only causal estimate in the extracted results.	Dataset/task selection, generated tests, user-evaluation subjectivity, and LLM version differences may affect generalization.	AgileGen GPT3.5 reports $0.0110 average cost, lower than AutoGPT GPT3.5 ($0.0442), ChatDev_23 ($0.0259), and ChatDev_24 ($0.0192), but higher than GPT3.5+CoT ($0.0028).
I004	li2024falcon	FALCON: Feedback-driven Adaptive Long/short-term memory reinforced Coding OptimizatioN	nao	no_adverse_evidence	yes_no_persistence_or_memory_ablation	arch_experience_bank	Preprint-style reporting; no cost data; memory and reward components are evaluated inside a broader fine-tuning/RL setup.	Benchmark-specific tuning, base-model differences, and unclear public-code permanence may affect reproducibility; CODAL-Bench preference outcomes are not directly comparable to functional pass rates.	NR
I005	qian2024iterative	Iterative Experience Refinement of Software-Developing Agents	nao	no_adverse_evidence	no_no_persistence_or_nonmemory_baseline	arch_experience_bank	Avaliação apenas com ChatGPT-3.5; métricas customizadas podem não refletir qualidade real de software; SRDD limitado a geração de software simples; sem avaliação em benchmarks padrão (SWE-bench); duração aumenta com IER (~180s vs ~148s ChatDev)	ChatGPT-3.5 como único modelo; Completeness/Executability/Consistency são proxies automatizados sem validação humana; SRDD gera software simples não representativo de projetos reais; embeddings ada-002 podem não capturar similaridade semântica de código adequadamente	NR
I006	lin2024evocoder	LLMs as Continuous Learners: Improving the Reproduction of Defective Code in Software Issues	nao	no_adverse_evidence	yes_no_persistence_or_memory_ablation	arch_experience_bank	Focuses on issue reproduction rather than full patch generation; actor/reflection LLM model details are not explicit in extracted text; unresolved cases remain due to model limitations and ambiguous issue descriptions.	LLM-as-judge and human judging may introduce evaluation subjectivity; SWE-bench Lite subset and reproduction-task framing may not generalize to all issue-resolution workflows.	NR
I007	wu2024sail	Skill-Adpative Imitation Learning for UI Test Reuse	nao	no_adverse_evidence	yes_nonmemory_external_baseline	arch_skill_rule_library	Focuses on Android UI test migration; no cost/token data; source-code availability not explicit in extracted text; success depends on LLM and UI-state representations.	Dataset composition, time limits for baselines, prompt engineering, and app/UI heterogeneity may affect external validity.	NR
I008	robeyns2025sica	A Self-Improving Coding Agent	sim	cost_or_runtime_overhead;benchmark_or_domain_generalization;evaluation_or_judge_validity;model_or_provider_dependence;safety_or_security_risk	yes_no_persistence_or_memory_ablation	arch_self_evolution_archive	Novel self-modification ideas are hard to generate; poor early ideas can create path dependence; benchmark timeouts may depress initial scores; much improvement comes from faster editing and cost reductions rather than only higher SWE-Bench capability; safety requires observability and evaluation gates.	Random benchmark subsets, short timeouts, cost caps, model/provider choice, and the fixed benchmark set affect external validity; no model-weight updates are studied.	Cost and time are included in the utility, but the paper does not claim a clean cost-reduction result versus a fixed baseline; average per-problem cost at iteration 0 is $1.91 and at iteration 15 is $1.70.
I009	zhang2025accelopt	AccelOpt: A Self-Improving LLM Agentic System for AI Accelerator Kernel Optimization	nao	no_adverse_evidence	yes_no_persistence_or_memory_ablation	arch_experience_bank	Avaliação limitada a kernels NKI para AWS Trainium; LLMs não conseguem otimizar certos kernels próximos ao pico ou com espaço de otimização difícil; dependência de serviço de profiling distribuído; apenas modelos open-source testados como base	NKIBench contém apenas 14 kernels; Trainium é acelerador específico, resultados podem não generalizar para GPUs/TPUs; modelos open-source específicos testados; custo medido por preço de API que pode variar	26x mais barato que Claude Sonnet 4 com desempenho equivalente ($139 AccelOpt vs ~$1733 Claude Sonnet 4); memória economiza 16-17% do custo vs beam search puro
I010	tang2025agentkb	Agent KB: Leveraging Cross-Domain Experience for Agentic Problem Solving	sim	retrieval_or_memory_noise;cost_or_runtime_overhead;benchmark_or_domain_generalization;model_or_provider_dependence	yes_no_persistence_or_memory_ablation	arch_experience_bank	External experiences can cause knowledge interference; the design needs disagreement gating, conflict resolution, and adaptive eviction; results depend on source-experience quality and stronger-to-weaker transfer.	Cross-framework compatibility, source benchmark selection, generated-experience abstraction quality, model mix, and budget caps may affect transferability.	AGENT KB retrieval overhead is reported as negligible: less than 0.4% of GAIA run cost and average SWE-bench hinting cost below $0.004 per issue.
