title	authors	year	source	decision	criterion	notes	reviewer
Smarter Together: Creating Agentic Communities of Practice through Shared Experiential Learning	Valentin Tablan, Scott Taylor, Gabriel Hurtado, Kristoffer Bernhem, Anders Uhrenholt, Gabriele Farei, Karo Moilanen	2025	database_pool	include	CI1+CE2	Spark: persistent shared agentic memory for coding agents; knowledge accumulates across sessions and agents	researcher
AccelOpt: A Self-Improving LLM Agentic System for AI Accelerator Kernel Optimization	Genghan Zhang, Shaowei Zhu, Anjiang Wei, Zhenyu Song, Allen Nie, Zhen Jia, Nandita Vijaykumar, Yida Wang, Kunle Olukotun	2025	database_pool	include	CI1+CE2	Optimization memory curates insights from past kernel pairs; cross-session persistence confirmed. CE2 borderline: HW kernel code optimization accepted as SE-adjacent	researcher
Live-SWE-agent: Can Software Engineering Agents Self-Evolve on the Fly?	Chun Xia, Zhe Wang, Yan Yang, Yuxiang Wei, Ling-kai Zhang	2025	database_pool	include	CI1+CE2	Agent autonomously evolves its scaffold across tasks; evaluated on SWE-bench Verified and SWE-Bench Pro	researcher
Traversal-as-Policy: Log-Distilled Gated Behavior Trees as Externalized, Verifiable Policies for Safe, Robust, and Efficient Agents	Peiran Li, Jiashuo Sun, Fangzhou Lin, Shuo Xing, Tianfu Fu, Suofei Feng, Chaoqun Ni, Zhengzhong Tu	2026	database_pool	include	CI1+CE2	GBT is externalized reusable artifact from distilled logs; evaluated on SWE-bench Verified. CI1 borderline: static after distillation but explicit persistent artifact	researcher
Your Code Agent Can Grow Alongside You with Structured Memory	Yi-Xuan Deng, Xiaoqin Liu, Yi Zhang, Guo-Wei Yang, Shuojin Yang	2026	database_pool	include	CI1+CE2	Seed paper (MemCoder). Structured memory for coding agents that grows across sessions	researcher
MemoryGraft: Persistent Compromise of LLM Agents via Poisoned Experience Retrieval	Saksham Sahai Srivastava, Haoyu He	2025	database_pool	include	CI1+CE2	Studies persistent memory poisoning in coding agents; cross-session persistence is core mechanism; evaluated on MetaGPT DataInterpreter	researcher
Iterative Experience Refinement of Software-Developing Agents	Chen Qian, Jiahao Li, Yufan Dang, Wei Liu, YiFei Wang, Zihao Xie, Weize Chen, Cheng Yang, Yingli Zhang, Zhiyuan Liu, Maosong Sun	2024	database_pool	include	CI1+CE2	Cross-task experience refinement (successive + cumulative patterns) for SW dev agents	researcher
Improving Code Localization with Repository Memory	Boshi Wang, Weijian Xu, Yunsheng Li, Mei Gao, Yujia Xie, Huan Sun, Dongdong Chen	2025	database_pool	include	CI1+CE2	Seed paper. Non-parametric memory from commit history persists across bug-fixing instances; SWE-bench	researcher
Building Effective AI Coding Agents for the Terminal: Scaffolding, Harness, Context Engineering, and Lessons Learned	Nghi D. Q. Bui	2026	database_pool	include	CI1+CE2	OPENDEV: automated memory system accumulates project-specific knowledge across sessions. CI1 borderline: memory is one feature among many but explicitly cross-session	researcher
Codified Context: Infrastructure for AI Agents in a Complex Codebase	Aristidis Vasilopoulos	2026	database_pool	include	CI1+CE2	Three-component system (hot-memory, domain agents, cold-memory KB); 283 sessions on 108K-line C# codebase; codified context propagates across sessions	researcher
