included_id	bibtex_key	coverage_status	bib_files	study_role	architecture_denominator_decision	year	title	venue	source_routes	source_files
I001	shinn2023reflexion	present	references/included-studies.bib	architecture	include_architecture	2023	Reflexion: Language Agents with Verbal Reinforcement Learning	arXiv preprint (2303.11366)	arxiv_chunk; citations; scopus	search/arxiv-query-chunk-results.tsv; search/results-citations.json; search/scopus-results-family-b-generic-agent-memory-se.json
I002	zelikman2024stop	present	references/included-studies.bib	architecture	include_architecture	2024	Self-Taught Optimizer (STOP): Recursively Self-Improving Code Generation	COLM 2024	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I003	zhang2024agilegen	present	references/included-studies.bib	architecture	include_architecture	2024	Empowering Agile-Based Generative Software Development through Human-AI Teamwork	NR	citations	search/results-citations.json
I004	li2024falcon	present	references/included-studies.bib	architecture	include_architecture	2024	FALCON: Feedback-driven Adaptive Long/short-term memory reinforced Coding OptimizatioN	arXiv preprint (2410.21349)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I005	qian2024iterative	present	references/included-studies.bib	architecture	include_architecture	2024	Iterative Experience Refinement of Software-Developing Agents	arXiv preprint (2405.04219)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I006	lin2024evocoder	present	references/included-studies.bib	architecture	include_architecture	2024	LLMs as Continuous Learners: Improving the Reproduction of Defective Code in Software Issues	arXiv preprint (2411.13941)	citations	search/results-citations.json
I007	wu2024sail	present	references/included-studies.bib	architecture	include_architecture	2024	Skill-Adpative Imitation Learning for UI Test Reuse	arXiv preprint (2409.13311)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I008	robeyns2025sica	present	references/included-studies.bib	architecture	include_architecture	2025	A Self-Improving Coding Agent	arXiv preprint (2504.15228)	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I009	zhang2025accelopt	present	references/included-studies.bib	architecture	include_architecture	2025	AccelOpt: A Self-Improving LLM Agentic System for AI Accelerator Kernel Optimization	arXiv preprint (2511.15915)	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I010	tang2025agentkb	present	references/included-studies.bib	architecture	include_architecture	2025	Agent KB: Leveraging Cross-Domain Experience for Agentic Problem Solving	arXiv preprint (2507.06229)	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I011	wang2025agentsse	present	references/included-studies.bib	contextual_survey	exclude_contextual	2025	Agents in software engineering: survey, landscape, and vision	Automated Software Engineering	arxiv_chunk; scopus	search/arxiv-query-chunk-results.tsv; search/scopus-results-family-b-generic-agent-memory-se.json
I012	kong2025alphaopt	present	references/included-studies.bib	architecture	include_architecture	2025	AlphaOPT: Formulating Optimization Programs with Self-Improving LLM Experience Library	arXiv preprint (2510.18428)	citations	search/results-citations.json
I013	yu2025satlution	present	references/included-studies.bib	architecture	include_architecture	2025	Autonomous Code Evolution Meets NP-Completeness	arXiv preprint (2509.07367)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I014	akshathala2025assessment	present	references/included-studies.bib	contextual_assessment	exclude_contextual	2025	Beyond Task Completion: An Assessment Framework for Evaluating Agentic AI Systems	arXiv preprint (2512.12791)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I015	jansen2025codedistiller	present	references/included-studies.bib	architecture	include_architecture	2025	CodeDistiller: Automatically Generating Code Libraries for Scientific Coding Agents	arXiv preprint (2512.01089)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I016	wong2025confucius	present	references/included-studies.bib	architecture	include_architecture	2025	Confucius Code Agent: Scalable Agent Scaffolding for Real-World Codebases	arXiv preprint (2512.10398)	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I017	zhang2025darwingodel	present	references/included-studies.bib	architecture	include_architecture	2025	Darwin Godel Machine: Open-Ended Evolution of Self-Improving Agents	ICLR 2026	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I018	lin2025eco	present	references/included-studies.bib	architecture	include_architecture	2025	ECO: An LLM-Driven Efficient Code Optimizer for Warehouse Scale Computers	arXiv preprint (2503.15669)	citations	search/results-citations.json
I019	yuksel2025evolattice	present	references/included-studies.bib	architecture	include_architecture	2025	EvoLattice: Persistent Internal-Population Evolution through Multi-Alternative Quality-Diversity Graph Representations for LLM-Guided Program Discovery	arXiv preprint (2512.13857)	citations	search/results-citations.json
I020	ou2025k3trans	present	references/included-studies.bib	architecture	include_architecture	2025	Evolving Triple Knowledge-Augmented LLMs for Code Translation in Repository Context	arXiv preprint (2503.18305)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I021	mu2025experepair	present	references/included-studies.bib	architecture	include_architecture	2025	EXPEREPAIR: Dual-Memory Enhanced LLM-based Repository-Level Program Repair	arXiv preprint (2506.10484)	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I022	lindenbauer2025ctimrover	present	references/included-studies.bib	architecture	include_architecture	2025	From Knowledge to Noise: CTIM-Rover and the Pitfalls of Episodic Memory in Software Engineering Agents	arXiv preprint (2505.23422) / REALM Workshop ICML 2025	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I023	wu2025gcc	present	references/included-studies.bib	architecture	include_architecture	2025	Git Context Controller: Manage the Context of LLM-based Agents like Git	arXiv preprint (2508.00031)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I024	wang2025huxleygodel	present	references/included-studies.bib	architecture	include_architecture	2025	Huxley-Gödel Machine: Human-Level Coding Agent Development by an Approximation of the Optimal Self-Improving Machine	arXiv preprint (2510.21614)	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I025	wang2025repositorymemory	present	references/included-studies.bib	architecture	include_architecture	2025	Improving Code Localization with Repository Memory	ICLR 2026	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I026	kernelevolve2025	present	references/included-studies.bib	architecture	include_architecture	2025	KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta	arXiv preprint (2512.23236)	citations	search/results-citations.json
I027	yang2025lingxi	present	references/included-studies.bib	architecture	include_architecture	2025	Lingxi: Repository-Level Issue Resolution Framework Enhanced by Procedural Knowledge Guided Scaling	arXiv preprint (2510.11838)	citations	search/results-citations.json
I028	srivastava2025memorygraft	present	references/included-studies.bib	contextual_security	exclude_contextual	2025	MemoryGraft: Persistent Compromise of LLM Agents via Poisoned Experience Retrieval	arXiv preprint (2512.16962)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I029	deshpande2025memtrack	present	references/included-studies.bib	contextual_benchmark	exclude_contextual	2025	MemTrack: Evaluating Long-Term Memory and State Tracking in Multi-Platform Dynamic Agent Environments	NeurIPS 2025 Workshop: Scaling Environments for Agents (SEA)	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I030	khan2025macog	present	references/included-studies.bib	architecture	include_architecture	2025	Multi-Agent Code-Orchestrated Generation for Reliable Infrastructure-as-Code	arXiv preprint (2510.03902)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I031	ouyang2025reasoningbank	present	references/included-studies.bib	architecture	include_architecture	2025	ReasoningBank: Scaling Agent Self-Evolving with Reasoning Memory	arXiv preprint (2509.25140)	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I032	guo2025redcodeagent	present	references/included-studies.bib	architecture	include_architecture	2025	RedCodeAgent: Automatic Red-teaming Agent against Diverse Code Agents	arXiv preprint (2510.02609)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I033	wang2025reflectiondriven	present	references/included-studies.bib	architecture	include_architecture	2025	Reflection-Driven Control for Trustworthy Code Agents	arXiv preprint (2512.21354)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I034	anderson2025selfdefining	present	references/included-studies.bib	boundary_case_study	exclude_contextual	2025	Self-Defining Systems	University of Washington white paper	citations	search/results-citations.json
I035	tablan2025smarter	present	references/included-studies.bib	architecture	include_architecture	2025	Smarter Together: Creating Agentic Communities of Practice through Shared Experiential Learning	arXiv preprint (2511.08301)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I036	joshi2025swebenchcl	present	references/included-studies.bib	contextual_benchmark	exclude_contextual	2025	SWE-Bench-CL: Continual Learning for Coding Agents	arXiv preprint (2507.00014)	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
