included_id	full_text_id	screening_id	dedup_group	study_role	architecture_status	controlled_comparison_status	classification_status	architecture_denominator_decision	contextual_role	full_text_rationale	source_routes	source_files	route_provenance	extraction_verification_status	extractor_notes	id	autores	ano	titulo	venue	tipo_venue	tipo_arquitetura	escopo_temporal	substrato_representacional	politica_controle	formato_armazenamento	metodo_recuperacao	granularidade_memoria	compartilhamento_entre_agentes	framework_agente	llm_utilizado	nivel_autonomia	codigo_aberto	metodo_avaliacao	benchmarks_utilizados	metricas_desempenho	metricas_cl	baseline_comparado	tokens_entrada_por_tarefa	tokens_saida_por_tarefa	tamanho_memoria_ao_longo_tempo	custo_por_tarefa	reducao_tokens	reporta_dados_custo	resultado_principal	desempenho_vs_baseline	custo_vs_baseline	resultado_negativo	pontuacao_qualidade	limitacoes	ameacas_validade	relevancia_gaps
I001	FT0001	TA00310	D00310	architecture	arch_experience_bank	yes_no_persistence_or_memory_ablation	classified_from_full_text_rationale	include_architecture	NA	Full text describes self-reflection converted into semantic experience summaries stored in long-term episodic memory and reused in subsequent trials, with HumanEval coding evaluation.	arxiv_chunk; citations; scopus	search/arxiv-query-chunk-results.tsv; search/results-citations.json; search/scopus-results-family-b-generic-agent-memory-se.json	cs.AI;cs.CL;cs.LG; backward | backward_from=deshpande2025memtrack;du2026memory;li2026traversalaspolicy;lindenbauer2025ctimrover;shen2026structurally;wang2026memgovern;zhang2025accelopt;zhang2026textbfgs;weng2026groupevolving;memorytransfer2026; family_b_generic_agent_memory_se; Conference Paper	verified_from_full_text	Fresh search architecture extraction batch 003; controlled-comparison and quality status remain pending aggregate recomputation.	shinn2023reflexion	Noah Shinn, Federico Cassano, Edward Berman, Ashwin Gopinath, Karthik Narasimhan, Shunyu Yao	2023	Reflexion: Language Agents with Verbal Reinforcement Learning	arXiv preprint (2303.11366)	preprint	banco_experiencia	episodica	texto_contexto	self_control_llm	Reflective natural-language experience summaries stored in a long-term episodic memory buffer and injected into later trials; trajectory history acts as short-term memory.	carga_total	tarefa	nao	Custom Reflexion agent framework	GPT-4 for code-generation experiments; GPT variants for decision-making and reasoning experiments	autonomo	sim	benchmark	AlfWorld, HotPotQA, HumanEval, MBPP, LeetcodeHardGym	Success rate; pass@1 accuracy; test-generation accuracy; ablation accuracy	NR	Baseline agents without Reflexion; GPT-4 single-sample code generation; CoT / episodic-memory ablations; previous SOTA systems such as CodeT and CodeRL	NR	NR	Sliding-window memory in experiments: maximum 1 experience for code generation and 3 experiences for AlfWorld.	NR	NR	nao	Reflexion stores verbal feedback in episodic memory and improves over baseline agents across decision-making, reasoning, and programming tasks. On code generation, Reflexion reports 91.0% pass@1 on HumanEval Python, 68.0% on HumanEval Rust, 77.1% on MBPP Python, 75.4% on MBPP Rust, and 15.0% on LeetcodeHard Python.	HumanEval Python improves from GPT-4 80.1% pass@1 to 91.0% (+10.9pp); HumanEval Rust improves from GPT-4 60.0% to 68.0% (+8.0pp); LeetcodeHard Python improves from GPT-4 7.5% to 15.0% (+7.5pp).	NR	nao	5.5	Depends on self-evaluation/test-generation quality; long-term memory is capped in experiments; no formal guarantee of improvement; autonomous code execution requires isolation.	Results depend on specific LLM capability and generated tests; some benchmarks/tasks are outside software-engineering workflows; memory size and feedback policies are manually configured.	gap1_comparacao
I002	FT0082	TA00712	D00712	architecture	arch_self_evolution_archive	yes_no_persistence_or_memory_ablation	classified_from_full_text_rationale	include_architecture	NA	Full text describes STOP recursively self-improving its own code-generation improver across iterations, preserving improved improver code and showing transfer to new downstream algorithmic/code-generation tasks with quantitative results.	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.CL;cs.AI;cs.LG;stat.ML; backward | backward_from=weng2026groupevolving	verified_from_full_text	Fresh search architecture extraction batch 003; controlled-comparison and quality status remain pending aggregate recomputation.	zelikman2024stop	Eric Zelikman, Eliana Lorch, Lester Mackey, Adam Kalai	2024	Self-Taught Optimizer (STOP): Recursively Self-Improving Code Generation	COLM 2024	conferencia	outro	procedural	executavel	self_control_llm	Successive versions of an executable language-model scaffolding improver program; the improved improver code is retained and reused to optimize downstream code-generation tasks.	carga_total	outro	nao	STOP self-improving code-generation improver	GPT-4, GPT-3.5-turbo, Mixtral	autonomo	NR	benchmark	Learning parity with noise; string grid distance; modular quadratic assignment; Maxcut; parity without noise; sandbox-bypass probe	Meta-utility on downstream tasks; transfer utility; unsandboxing rate	NR	Seed improver I0; chain-of-thought baseline; greedy iterative improver; GPT-3.5 and Mixtral comparisons	NR	NR	Improver code evolves over recursive iterations; number of retained iterations depends on configured recursion depth T.	NR	NR	nao	With GPT-4, STOP improves downstream task performance over 1-3 self-improvement rounds and transfers to new tasks. Table 1 reports improvements from seed to improved improver: string grid distance 44.3% to 56.7%, modular quadratic assignment 20.6% to 22.1%, Maxcut 58.7% to 74.2%, and parity without noise 59.3% to 81.7%.	Improved improvers outperform the seed improver on all transfer tasks reported in Table 1; on LPN, the paper reports consistent mean downstream performance improvement with GPT-4.	NR	sim	4.5	Not full recursive self-improvement because LM weights are unchanged; improvements are stochastic and can be non-monotonic; weaker models can degrade; generated code sometimes attempts to bypass sandbox restrictions.	Small downstream task set; synthetic algorithmic utilities; results depend on model version and utility design; sandbox detection uses syntactic checks.	gap3_complexidade
I003	FT0088	TA01157	D01157	architecture	arch_experience_bank	yes_nonmemory_external_baseline	classified_from_full_text_rationale	include_architecture	NA	Full text describes AgileGen maintaining a self-updating memory pool of prior user decision-making scenarios, retrieving similar entries for future software-generation tasks, and evaluating generated software with CodeBLEU, Pass@1, human evaluation, time, cost, and ablation-style comparisons.	citations	search/results-citations.json	forward | forward_from=qian2024iterative	verified_from_full_text	Fresh search architecture extraction batch 003; controlled-comparison and quality status remain pending aggregate recomputation.	zhang2024agilegen	Sai Zhang, Zhenchang Xing, Ronghui Guo, Fangzhou Xu, Lei Chen, Zhaoyuan Zhang, Xiaowang Zhang, Zhiyong Feng, Zhiqiang Zhuang	2024	Empowering Agile-Based Generative Software Development through Human-AI Teamwork	NR	periodico	banco_experiencia	semantica	estruturado	heuristica	Memory pool of prior user decision-making scenarios and requirements/scenario entries, populated after user scenario decisions and reused as human experiential knowledge for similar new requirements.	outro	tarefa	nao	AgileGen	GPT-3.5, GPT-4, GPT-4o in comparisons	interativo	sim	misto	50projects50days; SRDD; 30 website-application cases; 10 real user-created projects; 20 sampled SRDD projects	CodeBLEU, Pass@1, execution time, Pro_Code, cost, Code Executability, User Experience Questionnaire	NR	AutoGPT, ChatDev_23, ChatDev_24, GPT-Engineer, GPT3.5+CoT, GPT4+CoT, GPT4o+CoT, ablations	NR	NR	Memory pool starts empty and grows as users make scenario decisions; no bounded-size policy reported.	AgileGen GPT3.5 average cost $0.0110; AgileGen GPT4 average cost $0.1490 on 50projects50days execution-performance comparison.	NR	sim_detalhado	AgileGen uses Gherkin-centered agile generation plus a memory pool of user decision scenarios. On 50projects50days, AgileGen GPT3.5 reports CodeBLEU 0.339 and Pass@1 62.5%; AgileGen GPT4 reports CodeBLEU 0.362 and Pass@1 71.5%.	AgileGen GPT3.5 outperforms ChatDev_24 GPT3.5 by +0.089 CodeBLEU and +16.4pp Pass@1; AgileGen GPT4 outperforms GPT4o+CoT by +0.105 CodeBLEU and +24.7pp Pass@1.	AgileGen GPT3.5 reports $0.0110 average cost, lower than AutoGPT GPT3.5 ($0.0442), ChatDev_23 ($0.0259), and ChatDev_24 ($0.0192), but higher than GPT3.5+CoT ($0.0028).	nao	5.0	Human-in-the-loop workflow; memory-pool contribution is embedded in a larger AgileGen system; no isolated memory-only causal estimate in the extracted results.	Dataset/task selection, generated tests, user-evaluation subjectivity, and LLM version differences may affect generalization.	multiplos
I004	FT0003	TA00466	D00466	architecture	arch_experience_bank	yes_no_persistence_or_memory_ablation	classified_from_full_text_rationale	include_architecture	NA	Full text describes FALCON as a coding-optimization system with explicit long-term and short-term memory buffers that store historical tasks, errors, and feedback for later code-generation improvement with empirical evaluation.	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.LG;cs.AI;cs.PF	verified_from_full_text	Fresh search architecture extraction batch 003; controlled-comparison and quality status remain pending aggregate recomputation.	li2024falcon	Zeyuan Li, Yangfan He, Lewei He, Jianhui Wang, Tianyu Shi, Bin Lei, Yuchen Li, Qiuwu Chen	2024	FALCON: Feedback-driven Adaptive Long/short-term memory reinforced Coding OptimizatioN	arXiv preprint (2410.21349)	preprint	banco_experiencia	hibrida	estruturado	aprendida	Long-term memory buffer stores task descriptions, generated code/solutions, test/compiler feedback, and evaluation scores; short-term memory stores recent samples, error lines, compiler feedback, and immediate feedback for reward allocation.	embeddings	tarefa	nao	FALCON meta-reinforcement learning framework	CodeT5 base 770M; DeepSeek-Coder-Instruct 6.7B	autonomo	sim	benchmark	APPS, HumanEval, MBPP, CODAL-Bench	pass@1, pass@5, coding-preference metrics	NR	CodeT5 base, PPOCoder, CodeRL, RLTF, DeepSeek-Coder-Instruct without FALCON	NR	NR	Long-term memory accumulates historical tasks and feedback; short-term memory captures current/recent feedback. No storage bound reported.	NR	NR	nao	FALCON combines long/short-term memory with meta-reinforcement learning for code generation. On APPS with CodeT5 770M, it reports pass@1 all 3.50 and pass@5 all 8.17, outperforming RLTF (3.27 / 7.87). On HumanEval/MBPP, it reports 82.9 and 80.7 pass@1.	HumanEval improves from RLTF 76.8 to 82.9 (+6.1pp); MBPP improves from RLTF 75.9 to 80.7 (+4.8pp); APPS all pass@1 improves from RLTF 3.27 to 3.50 (+0.23pp).	NR	nao	5.0	Preprint-style reporting; no cost data; memory and reward components are evaluated inside a broader fine-tuning/RL setup.	Benchmark-specific tuning, base-model differences, and unclear public-code permanence may affect reproducibility; CODAL-Bench preference outcomes are not directly comparable to functional pass rates.	gap1_comparacao
I005	FT0002	TA00018	D00018	architecture	arch_experience_bank	no_no_persistence_or_nonmemory_baseline	classified_from_prior_prefill_recheck_required	include_architecture	NA	Full text describes Iterative Experience Refinement for software-developing agents, accumulating and refining experiences across task batches and evaluating software-development task performance.	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.CL;cs.AI;cs.MA;cs.SE	verified_prior_extraction	Exact-title prior extraction `qian2024iterative` reused after search text/title/path check; architecture_status=arch_experience_bank. Controlled-comparison status remains prior-prefilled pending aggregate recomputation.	qian2024iterative	Chen Qian, Jiahao Li, Yufan Dang, Wei Liu, YiFei Wang, Zihao Xie, Weize Chen, Cheng Yang, Yingli Zhang, Zhiyuan Liu, Maosong Sun	2024	Iterative Experience Refinement of Software-Developing Agents	arXiv preprint (2405.04219)	preprint	banco_experiencia	procedural	texto_contexto	heuristica	Pool de experiências shortcut como pares chave-valor: solution-to-instruction (conhecimento do agente instructivo) e instruction-to-solution (conhecimento do agente responsivo). Shortcuts extraídos de nós não-adjacentes na cadeia de execução. Embeddings via text-embedding-ada-002 para recuperação vetorial.	embeddings	subtarefa	sim	custom (estende ChatDev)	ChatGPT-3.5	autonomo	sim	benchmark	SRDD dataset (1200 descrições de requisitos de software, 40 categorias, dividido em 6 batches)	Completeness (α), Executability (β), Consistency (γ), Quality (α×β×γ), Duration	NR	GPTEngineer, MetaGPT, ChatDev, ECL (Experiential Co-Learning)	NR	NR	Cresce com batches; eliminação heurística reduz para 11.54% do pool original (930 de 8053 experiências) mantendo desempenho superior	NR	NR	nao	IER melhora Quality de 0.4665 (ChatDev) para 0.6372 (IER-Successive), +36.6% relativo. Padrão cumulativo oferece estabilidade maior que successive; eliminação de experiências atinge desempenho superior com apenas 11.54% do pool original.	+36.6% Quality vs ChatDev (0.6372 vs 0.4665); +10.3% Quality vs ECL (0.6372 vs 0.5775); +11% Executability vs ECL (0.9146 vs 0.8643)	NR	nao	4.0	Avaliação apenas com ChatGPT-3.5; métricas customizadas podem não refletir qualidade real de software; SRDD limitado a geração de software simples; sem avaliação em benchmarks padrão (SWE-bench); duração aumenta com IER (~180s vs ~148s ChatDev)	ChatGPT-3.5 como único modelo; Completeness/Executability/Consistency são proxies automatizados sem validação humana; SRDD gera software simples não representativo de projetos reais; embeddings ada-002 podem não capturar similaridade semântica de código adequadamente	gap3_complexidade
I006	FT0005	TA01356	D01356	architecture	arch_experience_bank	yes_no_persistence_or_memory_ablation	classified_from_full_text_rationale	include_architecture	NA	Full text describes EvoCoder accumulating prior issue-reproduction trajectories into common and repository-specific experience pools that are updated and reused on later software issues, with SWE-bench evaluation.	citations	search/results-citations.json	backward | backward_from=chen2025sweexp;mu2025experepair	verified_from_full_text	Fresh search architecture extraction batch 003; controlled-comparison and quality status remain pending aggregate recomputation.	lin2024evocoder	Yalan Lin, Yingwei Ma, Rongyu Cao, Binhua Li, Fei Huang, Xiaodong Gu, Yongbin Li	2024	LLMs as Continuous Learners: Improving the Reproduction of Defective Code in Software Issues	arXiv preprint (2411.13941)	preprint	banco_experiencia	hibrida	estruturado	self_control_llm	Hierarchical experience pool with a general/common pool and repository-specific pools. Experiences are distilled from issue-reproduction trajectories by a Reflection LLM and can be added, modified, or removed.	hibrido	repositorio	nao	EvoCoder, based on SWE-Agent/CodeR-style issue reproduction interaction	NR for actor/reflection model; GPT-4 used for LLM-as-judge evaluation	autonomo	sim	benchmark	SWE-bench Lite issue reproduction; issue-resolving evaluation with AutoCodeRover and Agentless	LLM-judged and human-judged reproduction accuracy; number of resolved issues; fix rate; error-transition analysis	NR	CodeR, LIBRO, AutoCodeRover, Agentless, and versions with EvoCoder reproduction code	NR	NR	Experience pool is dynamically updated with add/modify/remove operations to avoid experience bloating; no numeric size bound reported.	NR	NR	nao	EvoCoder improves issue-code reproduction by maintaining common and repository-specific experiences. Table 1 reports EvoCoder at 54.00% LLM-judged and 53.33% human-judged reproduction accuracy. Applying EvoCoder to debuggers increases resolved issues for AutoCodeRover from 15 to 18 and Agentless from 16 to 18.	Compared with CodeR, reproduction accuracy improves from 34.00% to 54.00% LLM-judged (+20.00pp) and from 33.33% to 53.33% human-judged (+20.00pp). AutoCodeRover fix rate improves from 22.06% to 26.47%; Agentless from 23.53% to 26.47%.	NR	nao	5.0	Focuses on issue reproduction rather than full patch generation; actor/reflection LLM model details are not explicit in extracted text; unresolved cases remain due to model limitations and ambiguous issue descriptions.	LLM-as-judge and human judging may introduce evaluation subjectivity; SWE-bench Lite subset and reproduction-task framing may not generalize to all issue-resolution workflows.	gap1_comparacao
I007	FT0004	TA00540	D00540	architecture	arch_skill_rule_library	yes_nonmemory_external_baseline	classified_from_full_text_rationale	include_architecture	NA	Full text describes SAIL extracting and archiving UI-testing skills in a memory/knowledge base from source test cases and reusing them for later target-app test generation, with evaluation against baselines.	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.SE	verified_from_full_text	Fresh search architecture extraction batch 003; controlled-comparison and quality status remain pending aggregate recomputation.	wu2024sail	Mengzhou Wu, Hao Wang, Jun Ren, Yuan Cao, Yuetong Li, Alex Jiang, Dezhi Ran, Yitao Hu, Wei Yang, Tao Xie	2024	Skill-Adpative Imitation Learning for UI Test Reuse	arXiv preprint (2409.13311)	preprint	outro	procedural	estruturado	self_control_llm	Knowledge base/archive of multi-level abstracted UI testing skills extracted from source test cases, then selectively reused for target-app test generation with context- and history-aware adaptation.	outro	tarefa	nao	SAIL skill-adaptive imitation learning framework	GPT-4o, GPT-4o-mini, DeepSeek-V2	autonomo	NR	benchmark	104 UI test-migration cases from 35 popular Android apps; SemFinder dataset / CraftDroid-related evaluation subjects	Success rate; Top-1 event-matching accuracy; ablation success rates	NR	CraftDroid, SemFinder, CraftDroid-SemFinder, CraftDroid-DeepSeek-V2, CraftDroid-GPT-4o-mini, TraceDroid, TargetDroid	NR	NR	Source-test skills are archived as a knowledge base for later target-app generation; no growth bound reported.	NR	NR	nao	SAIL extracts source-test skills and reuses them for UI test migration. Table 3 reports SAIL-DeepSeek-V2 success rate 63.6%, SAIL-GPT-4o 62.9%, and SAIL-GPT-4o-mini 58.4%.	SAIL-DeepSeek-V2 improves over CraftDroid 25.5% to 63.6% overall (+38.1pp; reported as 149% higher SR). In non-1-to-1 mappings, SAIL-GPT-4o reaches 55.6% versus CraftDroid 14.1% (reported as 294% improvement).	NR	nao	4.5	Focuses on Android UI test migration; no cost/token data; source-code availability not explicit in extracted text; success depends on LLM and UI-state representations.	Dataset composition, time limits for baselines, prompt engineering, and app/UI heterogeneity may affect external validity.	gap1_comparacao
I008	FT0095	TA00284	D00284	architecture	arch_self_evolution_archive	yes_no_persistence_or_memory_ablation	classified_from_full_text_rationale	include_architecture	NA	Full text describes a self-improving coding agent that keeps an archive of previous agents and benchmark results, selects the best archived agent for the next self-modification iteration, and reports gains on SWE-Bench Verified, LiveCodeBench, and synthetic benchmarks.	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.AI; backward | backward_from=weng2026groupevolving	verified_from_full_text	Fresh search architecture extraction batch 004; controlled-comparison and quality status remain pending aggregate recomputation.	robeyns2025sica	Maxime Robeyns, Martin Szummer, Laurence Aitchison	2025	A Self-Improving Coding Agent	arXiv preprint (2504.15228)	preprint	outro	procedural	executavel	aprendida	Archive of previous self-modified coding-agent implementations, benchmark results, average cost/time/token metrics, and archive-analysis traces; the best archived agent is selected as the next meta-agent for self-modification.	outro	repositorio	nao	Self-Improving Coding Agent (SICA)	Claude 3.5 Sonnet v2 for most agents; o3-mini for a reasoning agent	autonomo	sim	benchmark	SWE-Bench Verified subset, LiveCodeBench, synthetic file-editing benchmark, synthetic symbol-location benchmark	Benchmark accuracy; average per-problem cost; average per-problem time; average total tokens; cached-token percentage; utility combining score, cost, and time	NR	Initial archived agent at iteration 0 and later self-improved agent iterations; paper also compares against ADAS conceptually.	NR; Table 1 reports average total tokens per benchmark problem from 0.22M to 0.30M, not split into input/output.	NR; token totals are not split into input/output.	Archive retains previous agent iterations and benchmark records across 15 self-improvement iterations in the reported run.	Average per-problem cost ranges from $1.58 to $2.70 across iterations; the 15-iteration API run cost approximately $7,000.	NR; cached-token percentage is reported but no explicit token-reduction baseline is given.	sim	SICA self-edits its own agent code and improves on coding benchmarks. Table 1 reports SWE-Bench Verified accuracy increasing from 0.17 at iteration 0 to a peak of 0.53 at iteration 14, with LiveCodeBench improving from 0.65 to 0.71 by iteration 15.	SWE-Bench Verified improves from 17% to 53% at the best reported iteration (+36pp). File editing improves from 0.82 to 0.96 at peak, symbol location from 0.35 to 0.43 at peak, and LiveCodeBench from 0.65 to 0.71 by iteration 15.	Cost and time are included in the utility, but the paper does not claim a clean cost-reduction result versus a fixed baseline; average per-problem cost at iteration 0 is $1.91 and at iteration 15 is $1.70.	sim	5.5	Novel self-modification ideas are hard to generate; poor early ideas can create path dependence; benchmark timeouts may depress initial scores; much improvement comes from faster editing and cost reductions rather than only higher SWE-Bench capability; safety requires observability and evaluation gates.	Random benchmark subsets, short timeouts, cost caps, model/provider choice, and the fixed benchmark set affect external validity; no model-weight updates are studied.	gap3_complexidade
I009	FT0025	TA00450	D00450	architecture	arch_experience_bank	yes_no_persistence_or_memory_ablation	classified_from_prior_prefill_recheck_required	include_architecture	NA	Full text describes AccelOpt maintaining and updating optimization memory from prior slow-fast kernel pairs and exploration experiences, with NKIBench evaluation for AI accelerator kernel optimization.	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.LG;cs.CL; forward | forward_from=ouyang2026reasoningbank	verified_prior_extraction	Exact-title prior extraction `zhang2025accelopt` reused after search text/title/path check; architecture_status=arch_experience_bank. Controlled-comparison status remains prior-prefilled pending aggregate recomputation.	zhang2025accelopt	Genghan Zhang, Shaowei Zhu, Anjiang Wei, Zhenyu Song, Allen Nie, Zhen Jia, Nandita Vijaykumar, Yida Wang, Kunle Olukotun	2025	AccelOpt: A Self-Improving LLM Agentic System for AI Accelerator Kernel Optimization	arXiv preprint (2511.15915)	preprint	banco_experiencia	episodica	texto_contexto	heuristica	Fila de experience items com capacidade fixa (ExpN): cada item contém par slow-fast kernel (pseudocódigo dos segmentos otimizados) + estratégia de otimização generalizada em NL gerada pelo summarizer. Itens positivos (speedup > t_pos) e negativos (slowdown > 1/t_neg) curados separadamente.	carga_total	tarefa	sim	custom	Qwen3-Coder-480B (executor), gpt-oss-120b (planner/summarizer), Claude Sonnet 4 (comparação)	autonomo	sim	benchmark	NKIBench (14 kernels de workloads LLM reais em AWS Trainium 1 e 2)	Percentage of peak throughput, Fast@p, geometric mean speedup, correctness rate	NR	Claude Sonnet 4 (repeated sampling), kernels iniciais, beam search only (sem memória)	NR	NR	Fila com capacidade fixa (ExpN=16); entradas mais antigas descartadas ao atingir limite; crescimento sublinear controlado por TopK	$96.10-$223.23 por configuração completa (14 kernels, variando por executor/ExpN)	NR	sim_detalhado	AccelOpt melhora throughput médio de 49% para 61% do pico no Trainium 1 e de 45% para 59% no Trainium 2, igualando Claude Sonnet 4 com custo 26x menor usando modelos open-source.	+12pp throughput médio no Trainium 1 (49%→61%); +14pp no Trainium 2 (45%→59%) vs kernels iniciais; equivalente a Claude Sonnet 4	26x mais barato que Claude Sonnet 4 com desempenho equivalente ($139 AccelOpt vs ~$1733 Claude Sonnet 4); memória economiza 16-17% do custo vs beam search puro	nao	5.5	Avaliação limitada a kernels NKI para AWS Trainium; LLMs não conseguem otimizar certos kernels próximos ao pico ou com espaço de otimização difícil; dependência de serviço de profiling distribuído; apenas modelos open-source testados como base	NKIBench contém apenas 14 kernels; Trainium é acelerador específico, resultados podem não generalizar para GPUs/TPUs; modelos open-source específicos testados; custo medido por preço de API que pode variar	gap2_custo
I010	FT0030	TA00588	D00588	architecture	arch_experience_bank	yes_no_persistence_or_memory_ablation	classified_from_full_text_rationale	include_architecture	NA	Full text describes Agent KB as a shared cross-framework knowledge base that distills heterogeneous agent trajectories into reusable experience units and evaluates cross-domain transfer including SWE-bench.	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.CL;cs.AI; backward+forward | forward_from=su2025learnbyinteract | backward_from=chen2025sweexp;ouyang2026reasoningbank;memorytransfer2026	verified_from_full_text	Fresh search architecture extraction batch 004; controlled-comparison and quality status remain pending aggregate recomputation.	tang2025agentkb	Xiangru Tang, Tianrui Qin, Tianhao Peng, Ziyang Zhou, Yanjun Shao, Tingting Du, Xinming Wei, Peng Xia, Fang Wu, He Zhu, Ge Zhang, Jiaheng Liu, Xingyao Wang, Sirui Hong, Chenglin Wu, Hao Cheng, Chi Wang, Wangchunshu Zhou	2025	Agent KB: Leveraging Cross-Domain Experience for Agentic Problem Solving	arXiv preprint (2507.06229)	preprint	banco_experiencia	semantica	hibrido	aprendida	Framework-agnostic structured experience units E=<task embedding, structured goal constraints, action-reasoning pairs, metadata> stored behind REST APIs, with addition, deduplication, conflict resolution, and adaptive utility-based eviction.	hibrido	tarefa	sim	AGENT KB integrated with smolagents, OpenHands, OWL, SWE-Agent, and other agent stacks	GPT-4o, GPT-4.1, Claude-3.7, Qwen-3 32B, DeepSeek-R1, o3-mini	semiautonomo	sim	benchmark	SWE-bench Lite, GAIA, Humanity's Last Exam Bio/Chem, GPQA	Pass@1/pass@2/pass@3 accuracy; success rate; retrieval latency; memory footprint; token and monetary cost budgets; ablation accuracy	NR	Baseline agent frameworks without AGENT KB, AGENT KB pass@1/pass@2/pass@3 variants, ablations without hybrid retrieval and feedback components, manually curated knowledge comparison.	GAIA evaluation averages 212,586 prompt tokens per task including action loop/log summary/planning/feedback; SWE-bench hinting averages 4,184 prompt tokens per issue.	GAIA evaluation averages 42,221 completion tokens per task; SWE-bench hinting averages 530 completion tokens per issue.	Knowledge base grows as heterogeneous frameworks contribute execution experiences; appendix reports thousand-entry source collections and adaptive eviction under memory pressure.	GAIA evaluation averages $0.52 per task, with retrieval loop adding about $0.27 over the full validation run; SWE-bench hinting averages $0.0037 per issue.	NR; paper reports low marginal hint cost and short prompts but not token reduction versus baseline.	sim	AGENT KB enables cross-framework experience sharing and improves multiple agent/model combinations. On SWE-bench Lite, GPT-4.1 with SWE-Agent improves from 24.3% to 38.0% at max-iteration 50 and 42.3% at max-iteration 100 by pass@3; OpenHands with Claude-3.7 improves from 30.0% to 51.0% at max-iteration 50.	SWE-Agent GPT-4.1 improves 24.3% to 38.0% at 50 iterations (+13.7pp) and 27.0% to 42.3% at 100 iterations (+15.3pp). OpenHands Claude-3.7 improves 30.0% to 51.0% at 50 iterations (+21.0pp) and 41.3% to 53.3% at 100 iterations (+12.0pp).	AGENT KB retrieval overhead is reported as negligible: less than 0.4% of GAIA run cost and average SWE-bench hinting cost below $0.004 per issue.	sim	5.5	External experiences can cause knowledge interference; the design needs disagreement gating, conflict resolution, and adaptive eviction; results depend on source-experience quality and stronger-to-weaker transfer.	Cross-framework compatibility, source benchmark selection, generated-experience abstraction quality, model mix, and budget caps may affect transferability.	multiplos
