branch	rank	scopus_id	eid	title	year	venue	doi	subtype	abstract
family_c_strong_memory_se	1	SCOPUS_ID:105036077904	2-s2.0-105036077904	Helping LLMs improve code generation using feedback from testing and static analysis	2026	Discover Artificial Intelligence	10.1007/s44163-026-01009-5	Article	
family_c_strong_memory_se	2	SCOPUS_ID:105031710819	2-s2.0-105031710819	SEED-APR: A closed-loop self-evolving framework for automated program repair	2026	Systems and Soft Computing	10.1016/j.sasc.2026.200463	Article	
family_c_strong_memory_se	3	SCOPUS_ID:105028217476	2-s2.0-105028217476	Robust Scene-Oriented Adversarial Patch Against Autonomous Driving Perception Systems in Dynamic Industrial Environments	2026	IEEE Transactions on Industrial Informatics	10.1109/TII.2025.3646216	Article	
family_c_strong_memory_se	4	SCOPUS_ID:105030109327	2-s2.0-105030109327	ODEL: An Experience-Augmented Self-Evolving Framework for Efficient Python-to-C++ Code Translation	2026	Applied Sciences Switzerland	10.3390/app16031506	Article	
family_c_strong_memory_se	5	SCOPUS_ID:105012278827	2-s2.0-105012278827	EnCur: Curriculum-based in-context learning with structural encoding for code time complexity prediction	2026	Expert Systems with Applications	10.1016/j.eswa.2025.129094	Article	
family_c_strong_memory_se	6	SCOPUS_ID:105034679759	2-s2.0-105034679759	RAPID: Re-configurable Adder Tree based Performance-Incentivized AI Digital CIM Macro	2026	IEEE Transactions on Nanotechnology	10.1109/TNANO.2026.3680063	Article	
family_c_strong_memory_se	7	SCOPUS_ID:105036078829	2-s2.0-105036078829	LEGO-compiler: enhancing neural compilation through translation composability	2026	Ccf Transactions on High Performance Computing	10.1007/s42514-025-00272-9	Article	
family_c_strong_memory_se	8	SCOPUS_ID:105023161631	2-s2.0-105023161631	ReCode: Improving LLM-based Code Repair with Fine-Grained Retrieval-Augmented Generation	2025	Cikm 2025 Proceedings of the 34th ACM International Conference on Information and Knowledge Management	10.1145/3746252.3761035	Conference Paper	
family_c_strong_memory_se	9	SCOPUS_ID:105015101487	2-s2.0-105015101487	Post-Incorporating Code Structural Knowledge Into Pretrained Models via ICL for Code Translation	2025	IEEE Transactions on Software Engineering	10.1109/TSE.2025.3605768	Article	
family_c_strong_memory_se	10	SCOPUS_ID:105014743439	2-s2.0-105014743439	Choosing abstraction levels for model-based software debugging: A theoretical and empirical analysis for spreadsheet programs	2025	Artificial Intelligence	10.1016/j.artint.2025.104399	Article	
family_c_strong_memory_se	11	SCOPUS_ID:105016560089	2-s2.0-105016560089	Multi-Level Parallel Optimization of Multi-Head Attention Mechanism for the MT-3000 Heterogeneous Processor	2025	Jisuanji Xuebao Chinese Journal of Computers	10.11897/SP.J.1016.2025.02049	Article	
family_c_strong_memory_se	12	SCOPUS_ID:105015943676	2-s2.0-105015943676	Transforming Business Process Management Through Artificial Intelligence and Predictive Analytics	2025	Navigating Digital Transformation Through Business Process Management	10.4018/979-8-3373-3336-6.ch014	Book Chapter	
family_c_strong_memory_se	13	SCOPUS_ID:105030043477	2-s2.0-105030043477	A Scalable External Memory Access and On-Chip Storage Architecture for Edge-AI Accelerators : - Multi-Path Rolling Data Refresh and Layer-Wise Bank Allocation -	2025	Proceedings of the International Symposium on Low Power Electronics and Design	10.1109/ISLPED65674.2025.11261804	Conference Paper	
family_c_strong_memory_se	14	SCOPUS_ID:105004792959	2-s2.0-105004792959	Exploration Study About LLM with Proper Prompt in Automated Program Repair	2025	Communications in Computer and Information Science	10.1007/978-981-96-4509-1_28	Conference Paper	
family_c_strong_memory_se	15	SCOPUS_ID:105004823202	2-s2.0-105004823202	GEMMV: An LLM-Based Automated Performance-Aware Framework for GEMM Verilog Generation	2025	IEEE Journal on Emerging and Selected Topics in Circuits and Systems	10.1109/JETCAS.2025.3568712	Article	
family_c_strong_memory_se	16	SCOPUS_ID:105034653925	2-s2.0-105034653925	Hierarchical Knowledge Injection for Improving LLM-based Program Repair	2025	Proceedings 2025 40th IEEE ACM International Conference on Automated Software Engineering Ase 2025	10.1109/ASE63991.2025.00122	Conference Paper	
family_c_strong_memory_se	17	SCOPUS_ID:105031770226	2-s2.0-105031770226	DevTales: A Tool for Providing Narrative Code Histories into Developer Workflows	2025	Proceedings of IEEE Symposium on Visual Languages and Human Centric Computing Vl Hcc	10.1109/VL-HCC65237.2025.00013	Conference Paper	
family_c_strong_memory_se	18	SCOPUS_ID:105004794272	2-s2.0-105004794272	Prove your Colorings: Formal Verification of Cache Coloring of Bao Hypervisor	2025	Lecture Notes in Computer Science	10.1007/978-3-031-90900-9_11	Conference Paper	
family_c_strong_memory_se	19	SCOPUS_ID:105034717537	2-s2.0-105034717537	Hierarchical Syntax-Aware Modeling for Code Generation and Program Repair	2025	2025 5th International Conference on Artificial Intelligence Robotics and Communication Icairc 2025	10.1109/ICAIRC68035.2025.11385172	Conference Paper	
