full_text_id	screening_id	title	year	title_abstract_decision	retrieval_priority	needs_metadata_lookup	doi	arxiv_id	sources	preferred_url	pdf_path	text_path	retrieval_status	retrieval_source	retrieved_at_utc	failure_reason	notes
FT0001	TA00310	Reflexion: Language Agents with Verbal Reinforcement Learning	2023	include	1_include	no	10.48550/arXiv.2303.11366	2303.11366	arxiv_chunk; citations; scopus	https://arxiv.org/pdf/2303.11366	search/full-texts/pdf/FT0001_TA00310_reflexion-language-agents-with-verbal-reinforcement-learning.pdf	search/full-texts/text/FT0001_TA00310_reflexion-language-agents-with-verbal-reinforcement-learning.txt	ok	arxiv	2026-04-28T21:25:49Z		Calibration batch 001.
FT0002	TA00018	Iterative Experience Refinement of Software-Developing Agents	2024	include	1_include	no	10.48550/arXiv.2405.04219	2405.04219	arxiv_chunk	https://arxiv.org/pdf/2405.04219	search/full-texts/pdf/FT0002_TA00018_iterative-experience-refinement-of-software-developing-agents.pdf	search/full-texts/text/FT0002_TA00018_iterative-experience-refinement-of-software-developing-agents.txt	ok	arxiv	2026-04-28T21:25:50Z		Calibration batch 005.
FT0003	TA00466	FALCON: Feedback-driven Adaptive Long/short-term memory reinforced Coding Optimization system	2024	include	1_include	no	10.48550/arXiv.2410.21349	2410.21349	arxiv_chunk	https://arxiv.org/pdf/2410.21349	search/full-texts/pdf/FT0003_TA00466_falcon-feedback-driven-adaptive-long-short-term-memory-reinforced-coding-optimiz.pdf	search/full-texts/text/FT0003_TA00466_falcon-feedback-driven-adaptive-long-short-term-memory-reinforced-coding-optimiz.txt	ok	arxiv	2026-04-28T21:25:51Z		Calibration batch 005.
FT0004	TA00540	Skill-Adpative Imitation Learning for UI Test Reuse	2024	include	1_include	no	10.48550/arXiv.2409.13311	2409.13311	arxiv_chunk	https://arxiv.org/pdf/2409.13311	search/full-texts/pdf/FT0004_TA00540_skill-adpative-imitation-learning-for-ui-test-reuse.pdf	search/full-texts/text/FT0004_TA00540_skill-adpative-imitation-learning-for-ui-test-reuse.txt	ok	arxiv	2026-04-28T21:25:53Z		Calibration batch 005.
FT0005	TA01356	LLMs as Continuous Learners: Improving the Reproduction of Defective Code in Software Issues	2024	include	1_include	no	10.48550/arxiv.2411.13941	2411.13941	citations	https://arxiv.org/pdf/2411.13941	search/full-texts/pdf/FT0005_TA01356_llms-as-continuous-learners-improving-the-reproduction-of-defective-code-in-soft.pdf	search/full-texts/text/FT0005_TA01356_llms-as-continuous-learners-improving-the-reproduction-of-defective-code-in-soft.txt	ok	arxiv	2026-04-28T21:25:54Z		Batch 011 citation-only with abstracts.
FT0006	TA00077	From Knowledge to Noise: CTIM-Rover and the Pitfalls of Episodic Memory in Software Engineering Agents	2025	include	1_include	no	10.48550/arXiv.2505.23422	2505.23422	arxiv_chunk; citations	https://arxiv.org/pdf/2505.23422	search/full-texts/pdf/FT0006_TA00077_from-knowledge-to-noise-ctim-rover-and-the-pitfalls-of-episodic-memory-in-softwa.pdf	search/full-texts/text/FT0006_TA00077_from-knowledge-to-noise-ctim-rover-and-the-pitfalls-of-episodic-memory-in-softwa.txt	ok	arxiv	2026-04-28T21:25:55Z		Calibration batch 001.
FT0007	TA00084	SWE-Bench-CL: Continual Learning for Coding Agents	2025	include	1_include	no	10.48550/arXiv.2507.00014	2507.00014	arxiv_chunk; citations	https://arxiv.org/pdf/2507.00014	search/full-texts/pdf/FT0007_TA00084_swe-bench-cl-continual-learning-for-coding-agents.pdf	search/full-texts/text/FT0007_TA00084_swe-bench-cl-continual-learning-for-coding-agents.txt	ok	arxiv	2026-04-28T21:25:57Z		Calibration batch 001.
FT0008	TA00093	Prometheus: Towards Long-Horizon Codebase Navigation for Repository-Level Problem Solving	2025	include	1_include	no	10.48550/arXiv.2507.19942	2507.19942	arxiv_chunk; citations	https://arxiv.org/pdf/2507.19942	search/full-texts/pdf/FT0008_TA00093_prometheus-towards-long-horizon-codebase-navigation-for-repository-level-problem.pdf	search/full-texts/text/FT0008_TA00093_prometheus-towards-long-horizon-codebase-navigation-for-repository-level-problem.txt	ok	arxiv	2026-04-28T21:26:00Z		Calibration batch 001.
FT0009	TA00096	SWE-Exp: Experience-Driven Software Issue Resolution	2025	include	1_include	no	10.48550/arXiv.2507.23361	2507.23361	arxiv_chunk; citations	https://arxiv.org/pdf/2507.23361	search/full-texts/pdf/FT0009_TA00096_swe-exp-experience-driven-software-issue-resolution.pdf	search/full-texts/text/FT0009_TA00096_swe-exp-experience-driven-software-issue-resolution.txt	ok	arxiv	2026-04-28T21:26:03Z		Calibration batch 001.
FT0010	TA00127	TOM-SWE: User Mental Modeling For Software Engineering Agents	2025	include	1_include	no	10.48550/arXiv.2510.21903	2510.21903	arxiv_chunk	https://arxiv.org/pdf/2510.21903	search/full-texts/pdf/FT0010_TA00127_tom-swe-user-mental-modeling-for-software-engineering-agents.pdf	search/full-texts/text/FT0010_TA00127_tom-swe-user-mental-modeling-for-software-engineering-agents.txt	ok	arxiv	2026-04-28T21:26:04Z		Calibration batch 003.
