included_id	id	title	controlled_comparison_status	benchmark_markers	primary_delta_type	primary_delta_candidate	all_delta_candidates	extraction_status	desempenho_vs_baseline
I001	shinn2023reflexion	Reflexion: Language Agents with Verbal Reinforcement Learning	yes_no_persistence_or_memory_ablation	HumanEval; MBPP; LeetcodeHardGym; ALFWorld; HotPotQA	signed_percentage_points	+10.9pp	signed_percentage_points: +10.9pp; +8.0pp; +7.5pp	candidate_extracted	HumanEval Python improves from GPT-4 80.1% pass@1 to 91.0% (+10.9pp); HumanEval Rust improves from GPT-4 60.0% to 68.0% (+8.0pp); LeetcodeHard Python improves from GPT-4 7.5% to 15.0% (+7.5pp).
I002	zelikman2024stop	Self-Taught Optimizer (STOP): Recursively Self-Improving Code Generation	yes_no_persistence_or_memory_ablation	STOP synthetic algorithmic tasks	manual_review	NR	NR	manual_review	Improved improvers outperform the seed improver on all transfer tasks reported in Table 1; on LPN, the paper reports consistent mean downstream performance improvement with GPT-4.
I003	zhang2024agilegen	Empowering Agile-Based Generative Software Development through Human-AI Teamwork	yes_nonmemory_external_baseline	SRDD; 50projects50days	signed_percentage_points	+16.4pp	signed_percentage_points: +16.4pp; +24.7pp	candidate_extracted	AgileGen GPT3.5 outperforms ChatDev_24 GPT3.5 by +0.089 CodeBLEU and +16.4pp Pass@1; AgileGen GPT4 outperforms GPT4o+CoT by +0.105 CodeBLEU and +24.7pp Pass@1.
I004	li2024falcon	FALCON: Feedback-driven Adaptive Long/short-term memory reinforced Coding OptimizatioN	yes_no_persistence_or_memory_ablation	HumanEval; MBPP; APPS; CODAL-Bench	signed_percentage_points	+6.1pp	signed_percentage_points: +6.1pp; +4.8pp; +0.23pp	candidate_extracted	HumanEval improves from RLTF 76.8 to 82.9 (+6.1pp); MBPP improves from RLTF 75.9 to 80.7 (+4.8pp); APPS all pass@1 improves from RLTF 3.27 to 3.50 (+0.23pp).
I006	lin2024evocoder	LLMs as Continuous Learners: Improving the Reproduction of Defective Code in Software Issues	yes_no_persistence_or_memory_ablation	SWE-bench Lite	signed_percentage_points	+20.00pp	signed_percentage_points: +20.00pp | from_to_percent: from 34.00% to 54.00%; from 33.33% to 53.33%; from 22.06% to 26.47%; from 23.53% to 26.47%	candidate_extracted	Compared with CodeR, reproduction accuracy improves from 34.00% to 54.00% LLM-judged (+20.00pp) and from 33.33% to 53.33% human-judged (+20.00pp). AutoCodeRover fix rate improves from 22.06% to 26.47%; Agentless from 23.53% to 26.47%.
I007	wu2024sail	Skill-Adpative Imitation Learning for UI Test Reuse	yes_nonmemory_external_baseline	SemFinder/CraftDroid	signed_percentage_points	+38.1pp	signed_percentage_points: +38.1pp | relative_percent: 149% higher; 294% improvement	candidate_extracted	SAIL-DeepSeek-V2 improves over CraftDroid 25.5% to 63.6% overall (+38.1pp; reported as 149% higher SR). In non-1-to-1 mappings, SAIL-GPT-4o reaches 55.6% versus CraftDroid 14.1% (reported as 294% improvement).
I008	robeyns2025sica	A Self-Improving Coding Agent	yes_no_persistence_or_memory_ablation	SWE-bench Verified; LiveCodeBench	signed_percentage_points	+36pp	signed_percentage_points: +36pp | from_to_percent: from 17% to 53%; from 0.82 to 0.96; from 0.35 to 0.43; from 0.65 to 0.71	candidate_extracted	SWE-Bench Verified improves from 17% to 53% at the best reported iteration (+36pp). File editing improves from 0.82 to 0.96 at peak, symbol location from 0.35 to 0.43 at peak, and LiveCodeBench from 0.65 to 0.71 by iteration 15.
I009	zhang2025accelopt	AccelOpt: A Self-Improving LLM Agentic System for AI Accelerator Kernel Optimization	yes_no_persistence_or_memory_ablation	NKIBench	signed_percentage_points	+12pp	signed_percentage_points: +12pp; +14pp | arrow_change: 49%→61%; 45%→59%	candidate_extracted	+12pp throughput médio no Trainium 1 (49%→61%); +14pp no Trainium 2 (45%→59%) vs kernels iniciais; equivalente a Claude Sonnet 4
I010	tang2025agentkb	Agent KB: Leveraging Cross-Domain Experience for Agentic Problem Solving	yes_no_persistence_or_memory_ablation	SWE-bench Lite; GAIA; Humanity's Last Exam; GPQA	signed_percentage_points	+13.7pp	signed_percentage_points: +13.7pp; +15.3pp; +21.0pp; +12.0pp	candidate_extracted	SWE-Agent GPT-4.1 improves 24.3% to 38.0% at 50 iterations (+13.7pp) and 27.0% to 42.3% at 100 iterations (+15.3pp). OpenHands Claude-3.7 improves 30.0% to 51.0% at 50 iterations (+21.0pp) and 41.3% to 53.3% at 100 iterations (+12.0pp).
I012	kong2025alphaopt	AlphaOPT: Formulating Optimization Programs with Self-Improving LLM Experience Library	yes_no_persistence_or_memory_ablation	NLP4LP; NL4OPT; IndustryOR; MAMO/ComplexLP; LogiOR; OptiBench	from_to_percent	from 74.8 to 70.5	from_to_percent: from 74.8 to 70.5 | ratio_or_count: 1/76; 9/66; 5/74; 3/64	candidate_extracted	AlphaOPT exceeds ExpeL on test micro/macro averages (80.1/76.4 vs 69.9/66.3) and out-of-distribution micro/macro averages (86.5/74.8 vs 74.3/64.1). Removing refinement reduces out-of-distribution macro from 74.8 to 70.5.
