included_id	id	title	current_status	suggested_status	final_status	baseline_evidence	performance_evidence	manual_rationale
I001	shinn2023reflexion	Reflexion: Language Agents with Verbal Reinforcement Learning	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	Baseline agents without Reflexion; GPT-4 single-sample code generation; CoT / episodic-memory ablations; previous SOTA systems such as CodeT and CodeRL	HumanEval Python improves from GPT-4 80.1% pass@1 to 91.0% (+10.9pp); HumanEval Rust improves from GPT-4 60.0% to 68.0% (+8.0pp); LeetcodeHard Python improves from GPT-4 7.5% to 15.0% (+7.5pp).	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I002	zelikman2024stop	Self-Taught Optimizer (STOP): Recursively Self-Improving Code Generation	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	Seed improver I0; chain-of-thought baseline; greedy iterative improver; GPT-3.5 and Mixtral comparisons	Improved improvers outperform the seed improver on all transfer tasks reported in Table 1; on LPN, the paper reports consistent mean downstream performance improvement with GPT-4.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I003	zhang2024agilegen	Empowering Agile-Based Generative Software Development through Human-AI Teamwork	yes_nonmemory_external_baseline	needs_manual_review	yes_nonmemory_external_baseline	AutoGPT, ChatDev_23, ChatDev_24, GPT-Engineer, GPT3.5+CoT, GPT4+CoT, GPT4o+CoT, ablations	AgileGen GPT3.5 outperforms ChatDev_24 GPT3.5 by +0.089 CodeBLEU and +16.4pp Pass@1; AgileGen GPT4 outperforms GPT4o+CoT by +0.105 CodeBLEU and +24.7pp Pass@1.	Extracted evidence reports quantitative comparison against external or generic systems without the reviewed persistence architecture; count separately from strict ablations if needed.
I004	li2024falcon	FALCON: Feedback-driven Adaptive Long/short-term memory reinforced Coding OptimizatioN	yes_no_persistence_or_memory_ablation	needs_manual_review	yes_no_persistence_or_memory_ablation	CodeT5 base, PPOCoder, CodeRL, RLTF, DeepSeek-Coder-Instruct without FALCON	HumanEval improves from RLTF 76.8 to 82.9 (+6.1pp); MBPP improves from RLTF 75.9 to 80.7 (+4.8pp); APPS all pass@1 improves from RLTF 3.27 to 3.50 (+0.23pp).	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I005	qian2024iterative	Iterative Experience Refinement of Software-Developing Agents	no_no_persistence_or_nonmemory_baseline	needs_manual_review	no_no_persistence_or_nonmemory_baseline	GPTEngineer, MetaGPT, ChatDev, ECL (Experiential Co-Learning)	+36.6% Quality vs ChatDev (0.6372 vs 0.4665); +10.3% Quality vs ECL (0.6372 vs 0.5775); +11% Executability vs ECL (0.9146 vs 0.8643)	Extracted evidence does not document a no-persistence or non-memory baseline suitable for the controlled-comparison denominator.
I006	lin2024evocoder	LLMs as Continuous Learners: Improving the Reproduction of Defective Code in Software Issues	yes_no_persistence_or_memory_ablation	needs_manual_review	yes_no_persistence_or_memory_ablation	CodeR, LIBRO, AutoCodeRover, Agentless, and versions with EvoCoder reproduction code	Compared with CodeR, reproduction accuracy improves from 34.00% to 54.00% LLM-judged (+20.00pp) and from 33.33% to 53.33% human-judged (+20.00pp). AutoCodeRover fix rate improves from 22.06% to 26.47%; Agentless from 23.53% to 26.47%.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I007	wu2024sail	Skill-Adpative Imitation Learning for UI Test Reuse	yes_nonmemory_external_baseline	needs_manual_review	yes_nonmemory_external_baseline	CraftDroid, SemFinder, CraftDroid-SemFinder, CraftDroid-DeepSeek-V2, CraftDroid-GPT-4o-mini, TraceDroid, TargetDroid	SAIL-DeepSeek-V2 improves over CraftDroid 25.5% to 63.6% overall (+38.1pp; reported as 149% higher SR). In non-1-to-1 mappings, SAIL-GPT-4o reaches 55.6% versus CraftDroid 14.1% (reported as 294% improvement).	Extracted evidence reports quantitative comparison against external or generic systems without the reviewed persistence architecture; count separately from strict ablations if needed.
I008	robeyns2025sica	A Self-Improving Coding Agent	yes_no_persistence_or_memory_ablation	needs_manual_review	yes_no_persistence_or_memory_ablation	Initial archived agent at iteration 0 and later self-improved agent iterations; paper also compares against ADAS conceptually.	SWE-Bench Verified improves from 17% to 53% at the best reported iteration (+36pp). File editing improves from 0.82 to 0.96 at peak, symbol location from 0.35 to 0.43 at peak, and LiveCodeBench from 0.65 to 0.71 by iteration 15.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I009	zhang2025accelopt	AccelOpt: A Self-Improving LLM Agentic System for AI Accelerator Kernel Optimization	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	Claude Sonnet 4 (repeated sampling), kernels iniciais, beam search only (sem memória)	+12pp throughput médio no Trainium 1 (49%→61%); +14pp no Trainium 2 (45%→59%) vs kernels iniciais; equivalente a Claude Sonnet 4	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I010	tang2025agentkb	Agent KB: Leveraging Cross-Domain Experience for Agentic Problem Solving	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	Baseline agent frameworks without AGENT KB, AGENT KB pass@1/pass@2/pass@3 variants, ablations without hybrid retrieval and feedback components, manually curated knowledge comparison.	SWE-Agent GPT-4.1 improves 24.3% to 38.0% at 50 iterations (+13.7pp) and 27.0% to 42.3% at 100 iterations (+15.3pp). OpenHands Claude-3.7 improves 30.0% to 51.0% at 50 iterations (+21.0pp) and 41.3% to 53.3% at 100 iterations (+12.0pp).	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
