included_id	id	titulo	study_role	architecture_denominator_decision	architecture_status	tipo_arquitetura	controlled_comparison_status	has_baseline_text	quality_score	quality_status	cost_reporting	negative_result	benchmark_markers
I001	shinn2023reflexion	Reflexion: Language Agents with Verbal Reinforcement Learning	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.5	numeric	nao	nao	HumanEval;MBPP
I002	zelikman2024stop	Self-Taught Optimizer (STOP): Recursively Self-Improving Code Generation	architecture	include_architecture	arch_self_evolution_archive	outro	yes_no_persistence_or_memory_ablation	yes	4.5	numeric	nao	sim	NR
I003	zhang2024agilegen	Empowering Agile-Based Generative Software Development through Human-AI Teamwork	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_nonmemory_external_baseline	yes	5.0	numeric	sim_detalhado	nao	NR
I004	li2024falcon	FALCON: Feedback-driven Adaptive Long/short-term memory reinforced Coding OptimizatioN	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	nao	nao	HumanEval;MBPP
I005	qian2024iterative	Iterative Experience Refinement of Software-Developing Agents	architecture	include_architecture	arch_experience_bank	banco_experiencia	no_no_persistence_or_nonmemory_baseline	yes	4.0	numeric	nao	nao	NR
I006	lin2024evocoder	LLMs as Continuous Learners: Improving the Reproduction of Defective Code in Software Issues	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.0	numeric	nao	nao	SWE-bench Lite
I007	wu2024sail	Skill-Adpative Imitation Learning for UI Test Reuse	architecture	include_architecture	arch_skill_rule_library	outro	yes_nonmemory_external_baseline	yes	4.5	numeric	nao	nao	NR
I008	robeyns2025sica	A Self-Improving Coding Agent	architecture	include_architecture	arch_self_evolution_archive	outro	yes_no_persistence_or_memory_ablation	yes	5.5	numeric	sim	sim	SWE-bench Verified;LiveCodeBench
I009	zhang2025accelopt	AccelOpt: A Self-Improving LLM Agentic System for AI Accelerator Kernel Optimization	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.5	numeric	sim_detalhado	nao	NKIBench
I010	tang2025agentkb	Agent KB: Leveraging Cross-Domain Experience for Agentic Problem Solving	architecture	include_architecture	arch_experience_bank	banco_experiencia	yes_no_persistence_or_memory_ablation	yes	5.5	numeric	sim	sim	SWE-bench Lite
I011	wang2025agentsse	Agents in software engineering: survey, landscape, and vision	contextual_survey	exclude_contextual	contextual_not_applicable	NA	not_applicable_contextual	no	2.5	numeric	nao	nao	NR
