included_id	id	title	architecture_denominator_decision	study_role	publication_group	tipo_venue	venue	quality_score	quality_band	retained_quality_ge_3_0	retained_quality_ge_4_0	retained_quality_ge_4_5	retained_quality_ge_5_0	controlled_group	strict_controlled	broad_controlled	peer_reviewed_only_retained	cost_reporting	adverse_evidence
I001	shinn2023reflexion	Reflexion: Language Agents with Verbal Reinforcement Learning	include_architecture	architecture	preprint	preprint	arXiv preprint (2303.11366)	5.5	very_high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	nao	nao
I002	zelikman2024stop	Self-Taught Optimizer (STOP): Recursively Self-Improving Code Generation	include_architecture	architecture	peer_reviewed	conferencia	COLM 2024	4.5	moderate	yes	yes	yes	no	strict_no_persistence_or_memory_ablation	yes	yes	yes	nao	sim
I003	zhang2024agilegen	Empowering Agile-Based Generative Software Development through Human-AI Teamwork	include_architecture	architecture	peer_reviewed	periodico	NR	5.0	high	yes	yes	yes	yes	broad_external_nonmemory_baseline	no	yes	yes	sim_detalhado	nao
I004	li2024falcon	FALCON: Feedback-driven Adaptive Long/short-term memory reinforced Coding OptimizatioN	include_architecture	architecture	preprint	preprint	arXiv preprint (2410.21349)	5.0	high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	nao	nao
I005	qian2024iterative	Iterative Experience Refinement of Software-Developing Agents	include_architecture	architecture	preprint	preprint	arXiv preprint (2405.04219)	4.0	moderate_low	yes	yes	no	no	no_suitable_controlled_comparison	no	no	no	nao	nao
I006	lin2024evocoder	LLMs as Continuous Learners: Improving the Reproduction of Defective Code in Software Issues	include_architecture	architecture	preprint	preprint	arXiv preprint (2411.13941)	5.0	high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	nao	nao
I007	wu2024sail	Skill-Adpative Imitation Learning for UI Test Reuse	include_architecture	architecture	preprint	preprint	arXiv preprint (2409.13311)	4.5	moderate	yes	yes	yes	no	broad_external_nonmemory_baseline	no	yes	no	nao	nao
I008	robeyns2025sica	A Self-Improving Coding Agent	include_architecture	architecture	preprint	preprint	arXiv preprint (2504.15228)	5.5	very_high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim	sim
I009	zhang2025accelopt	AccelOpt: A Self-Improving LLM Agentic System for AI Accelerator Kernel Optimization	include_architecture	architecture	preprint	preprint	arXiv preprint (2511.15915)	5.5	very_high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_detalhado	nao
I010	tang2025agentkb	Agent KB: Leveraging Cross-Domain Experience for Agentic Problem Solving	include_architecture	architecture	preprint	preprint	arXiv preprint (2507.06229)	5.5	very_high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim	sim
I011	wang2025agentsse	Agents in software engineering: survey, landscape, and vision	exclude_contextual	contextual_survey	peer_reviewed	periodico	Automated Software Engineering	2.5	below_protocol_threshold	no	no	no	no	no_suitable_controlled_comparison	no	no	yes	nao	nao
I012	kong2025alphaopt	AlphaOPT: Formulating Optimization Programs with Self-Improving LLM Experience Library	include_architecture	architecture	preprint	preprint	arXiv preprint (2510.18428)	5.5	very_high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	nao	nao
I013	yu2025satlution	Autonomous Code Evolution Meets NP-Completeness	include_architecture	architecture	preprint	preprint	arXiv preprint (2509.07367)	4.0	moderate_low	yes	yes	no	no	no_suitable_controlled_comparison	no	no	no	nao	sim
I014	akshathala2025assessment	Beyond Task Completion: An Assessment Framework for Evaluating Agentic AI Systems	exclude_contextual	contextual_assessment	preprint	preprint	arXiv preprint (2512.12791)	4.0	moderate_low	yes	yes	no	no	no_suitable_controlled_comparison	no	no	no	sim_parcial	sim
