included_id	id	title	current_score	q1_objectives	q2_evaluation_adequacy	q3_threats_discussed	q4_empirical_data	q5_context_replicability	q6_metrics_defined	final_score	prefill_note	manual_rationale
I001	shinn2023reflexion	Reflexion: Language Agents with Verbal Reinforcement Learning	NR	1	1	1	1	0.5	1	5.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
I002	zelikman2024stop	Self-Taught Optimizer (STOP): Recursively Self-Improving Code Generation	NR	1	0.5	1	1	0	1	4.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 4.5: Empirical results and metrics are present, but evaluation adequacy is limited by narrow, internal, proxy, small, or domain-specific settings and replication context is weak.
I003	zhang2024agilegen	Empowering Agile-Based Generative Software Development through Human-AI Teamwork	NR	1	1	0.5	1	0.5	1	5.0	metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I004	li2024falcon	FALCON: Feedback-driven Adaptive Long/short-term memory reinforced Coding OptimizatioN	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I005	qian2024iterative	Iterative Experience Refinement of Software-Developing Agents	4.0	1	0.5	0.5	1	0	1	4.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 4.0: Objectives and empirical metrics are present, but evaluation adequacy, threat discussion, and replication context are limited.
I006	lin2024evocoder	LLMs as Continuous Learners: Improving the Reproduction of Defective Code in Software Issues	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I007	wu2024sail	Skill-Adpative Imitation Learning for UI Test Reuse	NR	1	0.5	1	1	0	1	4.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 4.5: Empirical results and metrics are present, but evaluation adequacy is limited by narrow, internal, proxy, small, or domain-specific settings and replication context is weak.
I008	robeyns2025sica	A Self-Improving Coding Agent	NR	1	1	1	1	0.5	1	5.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
I009	zhang2025accelopt	AccelOpt: A Self-Improving LLM Agentic System for AI Accelerator Kernel Optimization	5.5	1	1	1	1	0.5	1	5.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
I010	tang2025agentkb	Agent KB: Leveraging Cross-Domain Experience for Agentic Problem Solving	NR	1	1	1	1	0.5	1	5.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
I012	kong2025alphaopt	AlphaOPT: Formulating Optimization Programs with Self-Improving LLM Experience Library	NR	1	1	1	1	0.5	1	5.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
I013	yu2025satlution	Autonomous Code Evolution Meets NP-Completeness	NR	1	0.5	0.5	1	0	1	4.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 4.0: SATLUTION reports empirical SAT-competition metrics, but effective runs required high-level human steering, correctness failures are prominent, source availability is not reported, and replication context is weak.
I015	jansen2025codedistiller	CodeDistiller: Automatically Generating Code Libraries for Scientific Coding Agents	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I016	wong2025confucius	Confucius Code Agent: Scalable Agent Scaffolding for Real-World Codebases	5.5	1	1	1	1	0.5	1	5.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;artifact_partial	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
I017	zhang2025darwingodel	Darwin Godel Machine: Open-Ended Evolution of Self-Improving Agents	NR	1	1	1	1	0.5	1	5.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
I018	lin2025eco	ECO: An LLM-Driven Efficient Code Optimizer for Warehouse Scale Computers	NR	1	0.5	1	1	0	1	4.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 4.5: Empirical results and metrics are present, but evaluation adequacy is limited by narrow, internal, proxy, small, or domain-specific settings and replication context is weak.
I019	yuksel2025evolattice	EvoLattice: Persistent Internal-Population Evolution through Multi-Alternative Quality-Diversity Graph Representations for LLM-Guided Program Discovery	NR	1	0.5	1	1	0	1	4.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 4.5: Empirical results and metrics are present, but evaluation adequacy is limited by narrow, internal, proxy, small, or domain-specific settings and replication context is weak.
I020	ou2025k3trans	Evolving Triple Knowledge-Augmented LLMs for Code Translation in Repository Context	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I021	mu2025experepair	EXPEREPAIR: Dual-Memory Enhanced LLM-based Repository-Level Program Repair	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I022	lindenbauer2025ctimrover	From Knowledge to Noise: CTIM-Rover and the Pitfalls of Episodic Memory in Software Engineering Agents	4.0	1	0.5	0.5	1	0	1	4.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 4.0: Objectives and empirical metrics are present, but evaluation adequacy, threat discussion, and replication context are limited.
I023	wu2025gcc	Git Context Controller: Manage the Context of LLM-based Agents like Git	5.5	1	1	1	1	0.5	1	5.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;artifact_partial	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
I024	wang2025huxleygodel	Huxley-Gödel Machine: Human-Level Coding Agent Development by an Approximation of the Optimal Self-Improving Machine	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I025	wang2025repositorymemory	Improving Code Localization with Repository Memory	5.0	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;artifact_partial	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I026	kernelevolve2025	KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta	NR	1	0.5	1	1	0	1	4.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 4.5: Empirical results and metrics are present, but evaluation adequacy is limited by narrow, internal, proxy, small, or domain-specific settings and replication context is weak.
I027	yang2025lingxi	Lingxi: Repository-Level Issue Resolution Framework Enhanced by Procedural Knowledge Guided Scaling	NR	1	0.5	1	1	0	1	4.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 4.5: Empirical results and metrics are present, but evaluation adequacy is limited by narrow, internal, proxy, small, or domain-specific settings and replication context is weak.
I030	khan2025macog	Multi-Agent Code-Orchestrated Generation for Reliable Infrastructure-as-Code	NR	1	0.5	1	1	0	1	4.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 4.5: Empirical results and metrics are present, but evaluation adequacy is limited by narrow, internal, proxy, small, or domain-specific settings and replication context is weak.
I031	ouyang2025reasoningbank	ReasoningBank: Scaling Agent Self-Evolving with Reasoning Memory	NR	1	1	1	1	0.5	1	5.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
I032	guo2025redcodeagent	RedCodeAgent: Automatic Red-teaming Agent against Diverse Code Agents	NR	1	0.5	1	1	0	1	4.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 4.5: Empirical results and metrics are present, but evaluation adequacy is limited by narrow, internal, proxy, small, or domain-specific settings and replication context is weak.
I033	wang2025reflectiondriven	Reflection-Driven Control for Trustworthy Code Agents	NR	1	0.5	1	1	0	1	4.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 4.5: Empirical results and metrics are present, but evaluation adequacy is limited by narrow, internal, proxy, small, or domain-specific settings and replication context is weak.
I035	tablan2025smarter	Smarter Together: Creating Agentic Communities of Practice through Shared Experiential Learning	5.0	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I037	chen2025sweexp	SWE-Exp: Experience-Driven Software Issue Resolution	6.0	1	1	1	1	1	1	6.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 6.0: Clear objectives, adequate empirical evaluation, explicit threats or limitations, reproducible context, and defined metrics.
I038	feng2025tai3	TAI3: Testing Agent Integrity in Interpreting User Intent	NR	1	0.5	1	1	0	1	4.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 4.5: Empirical results and metrics are present, but evaluation adequacy is limited by narrow, internal, proxy, small, or domain-specific settings and replication context is weak.
I039	shen2025talm	TALM: Dynamic Tree-Structured Multi-Agent Framework with Long-Term Memory for Scalable Code Generation	4.5	1	0.5	1	1	0	1	4.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 4.5: Empirical results and metrics are present, but evaluation adequacy is limited by narrow, internal, proxy, small, or domain-specific settings and replication context is weak.
I040	zhou2025tomswe	TOM-SWE: User Mental Modeling For Software Engineering Agents	5.5	1	1	1	1	0.5	1	5.5	metrics_reported;context_reported;validity_or_threat_notes_present;artifact_partial	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
I041	cao2025hxagent	Toward Generation of Test Cases from Task Descriptions via History-aware Planning	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I042	hosain2025xolver	Xolver: Multi-Agent Reasoning with Holistic Experience Learning Just Like an Olympiad Team	5.5	1	1	1	1	0.5	1	5.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
I043	du2026adaexplore	AdaExplore: Failure-Driven Adaptation and Diversity-Preserving Search for Efficient Kernel Generation	NR	1	1	1	1	0.5	1	5.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
I044	zhang2026agentdevel	AgentDevel: Reframing Self-Evolving LLM Agents as Release Engineering	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I045	tan2026agentga	AgentGA: Evolving Code Solutions in Agent-Seed Space	NR	1	0.5	1	1	0	1	4.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;artifact_partial	Quality score 4.5: Empirical results and metrics are present, but evaluation adequacy is limited by narrow, internal, proxy, small, or domain-specific settings and replication context is weak.
I046	banerjee2026apexem	APEX-EM: Non-Parametric Online Learning for Autonomous Agents via Structured Procedural-Episodic Experience Replay	NR	1	0.5	0.5	1	0	1	4.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 4.0: APEX-EM reports empirical benchmark evidence, but some experiments remain in progress and key comparisons involve different backbones, leaving evaluation adequacy and replication context limited.
I047	xiang2026beam	BEAM: Bi-level Memory-adaptive Algorithmic Evolution for LLM-Powered Heuristic Design	NR	1	0.5	1	1	0	1	4.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 4.5: Empirical results and metrics are present, but evaluation adequacy is limited by narrow, internal, proxy, small, or domain-specific settings and replication context is weak.
I048	bai2026patchadvisor	Beyond Crash-to-Patch: Patch Evolution for Linux Kernel Repair	NR	1	0.5	1	1	0	1	4.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;artifact_partial	Quality score 4.5: Empirical results and metrics are present, but evaluation adequacy is limited by narrow, internal, proxy, small, or domain-specific settings and replication context is weak.
I049	he2026coredteam	Co-RedTeam: Orchestrated Security Discovery and Exploitation with LLM Agents	NR	1	0.5	1	1	0	1	4.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 4.5: Empirical results and metrics are present, but evaluation adequacy is limited by narrow, internal, proxy, small, or domain-specific settings and replication context is weak.
I050	vogel2026codebasememory	Codebase-Memory: Tree-Sitter-Based Knowledge Graphs for LLM Code Exploration via MCP	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I051	zhang2026coevoskills	CoEvoSkills: Self-Evolving Agent Skills via Co-Evolutionary Verification	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I052	muhtar2026complementaryrl	Complementary Reinforcement Learning	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I053	hu2026cse	Controlled Self-Evolution for Algorithmic Code Optimization	NR	1	1	1	1	0.5	1	5.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
I054	qu2026coral	CORAL: Towards Autonomous Multi-Agent Evolution for Open-Ended Discovery	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I055	jiang2026darwin	DARWIN: Dynamic Agentically Rewriting Self-Improving Network	NR	1	0.5	0.5	0.5	0	1	3.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 3.5: DARWIN is a proof-of-concept on a small nanoGPT/Shakespeare setup with few generations and insignificant results, so empirical strength and replication context are limited.
I056	shen2026decocted	Decocted Experience Improves Test-Time Inference in LLM Agents	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I057	zhang2026docksmith	DockSmith: Scaling Reliable Coding Environments via an Agentic Docker Builder	NR	1	1	1	1	0.5	1	5.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
I058	wang2026domagent	DomAgent: Leveraging Knowledge Graphs and Case-Based Reasoning for Domain-Specific Code Generation	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I059	guo2026eet	EET: Experience-Driven Early Termination for Cost-Efficient Software Engineering Agents	5.5	1	1	1	1	0.5	1	5.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
