included_id	full_text_id	screening_id	title	study_role	architecture_status	controlled_comparison_status	classification_status	classification_reason
I001	FT0001	TA00310	Reflexion: Language Agents with Verbal Reinforcement Learning	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	semantic episodic experience summaries stored/reused across HumanEval trials
I002	FT0082	TA00712	Self-Taught Optimizer (STOP): Recursively Self-Improving Code Generation	architecture	arch_self_evolution_archive	pending_extraction	classified_from_full_text_rationale	improved code-generation improver is preserved across self-improvement iterations
I003	FT0088	TA01157	Empowering Agile-Based Generative Software Development through Human-AI Teamwork	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	self-updating memory pool of prior user decision scenarios
I004	FT0003	TA00466	FALCON: Feedback-driven Adaptive Long/short-term memory reinforced Coding Optimization system	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	long/short-term memory buffers for coding optimization
I005	FT0002	TA00018	Iterative Experience Refinement of Software-Developing Agents	architecture	arch_experience_bank	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior exact-title match; experience refinement across software-development batches
I006	FT0005	TA01356	LLMs as Continuous Learners: Improving the Reproduction of Defective Code in Software Issues	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	common and repository-specific experience pools for issue reproduction
I007	FT0004	TA00540	Skill-Adpative Imitation Learning for UI Test Reuse	architecture	arch_skill_rule_library	pending_extraction	classified_from_full_text_rationale	archived UI-testing skills reused for target-app test generation
I008	FT0095	TA00284	A Self-Improving Coding Agent	architecture	arch_self_evolution_archive	pending_extraction	classified_from_full_text_rationale	archive of previous agents and benchmark results guides self-modification
I009	FT0025	TA00450	AccelOpt: A Self-Improving LLM Agentic System for AI Accelerator Kernel Optimization	architecture	arch_experience_bank	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior exact-title match; optimization memory from slow-fast kernel pairs
I010	FT0030	TA00588	Agent KB: Leveraging Cross-Domain Experience for Agentic Problem Solving	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	shared cross-framework distilled trajectory experience units
I011	FT0100	TA00330	Agents in software engineering: survey, landscape, and vision	contextual_survey	contextual_not_applicable	not_applicable_contextual	classified_from_full_text_rationale	analytical SE-agent survey with perception-memory-action taxonomy
I012	FT0114	TA00960	AlphaOPT: Formulating Optimization Programs with Self-Improving LLM Experience Library	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	self-improving solver-verified experience library
I013	FT0096	TA00287	Autonomous Code Evolution Meets NP-Completeness	architecture	arch_self_evolution_archive	pending_extraction	classified_from_full_text_rationale	persists evolved solver repositories and self-evolving rules/policies
I014	FT0102	TA00389	Beyond Task Completion: An Assessment Framework for Evaluating Agentic AI Systems	contextual_assessment	contextual_not_applicable	not_applicable_contextual	classified_from_full_text_rationale	assessment framework with memory metrics, not a persistence architecture itself
I015	FT0013	TA00148	CodeDistiller: Automatically Generating Code Libraries for Scientific Coding Agents	architecture	arch_skill_rule_library	pending_extraction	classified_from_full_text_rationale	vetted reusable code-example library for scientific coding agents
I016	FT0016	TA00156	Confucius Code Agent: Scalable Agent Scaffolding for Real-World Codebases	architecture	arch_persistent_workspace_state	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior exact-title match; persistent notes and long-term memory across sessions
