included_id	full_text_id	screening_id	dedup_group	title	year	authors	venue	doi	arxiv_id	sources	source_files	provenance	retrieval_status	pdf_path	text_path	full_text_rationale	study_role	architecture_status	controlled_comparison_status	classification_status	extraction_notes
I001	FT0001	TA00310	D00310	Reflexion: Language Agents with Verbal Reinforcement Learning	2023	Noah Shinn; Federico Cassano; Beck Labash; A. Gopinath; Karthik Narasimhan; Shunyu Yao	arXiv	10.48550/arXiv.2303.11366	2303.11366	arxiv_chunk; citations; scopus	search/arxiv-query-chunk-results.tsv; search/results-citations.json; search/scopus-results-family-b-generic-agent-memory-se.json	cs.AI;cs.CL;cs.LG; backward | backward_from=deshpande2025memtrack;du2026memory;li2026traversalaspolicy;lindenbauer2025ctimrover;shen2026structurally;wang2026memgovern;zhang2025accelopt;zhang2026textbfgs;weng2026groupevolving;memorytransfer2026; family_b_generic_agent_memory_se; Conference Paper	ok	search/full-texts/pdf/FT0001_TA00310_reflexion-language-agents-with-verbal-reinforcement-learning.pdf	search/full-texts/text/FT0001_TA00310_reflexion-language-agents-with-verbal-reinforcement-learning.txt	Full text describes self-reflection converted into semantic experience summaries stored in long-term episodic memory and reused in subsequent trials, with HumanEval coding evaluation.	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	classification pass: semantic episodic experience summaries stored/reused across HumanEval trials
I002	FT0082	TA00712	D00712	Self-Taught Optimizer (STOP): Recursively Self-Improving Code Generation	2023	E. Zelikman; Eliana Lorch; L. Mackey; A. Kalai	arXiv	10.48550/arXiv.2310.02304	2310.02304	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.CL;cs.AI;cs.LG;stat.ML; backward | backward_from=weng2026groupevolving	ok	search/full-texts/pdf/FT0082_TA00712_self-taught-optimizer-stop-recursively-self-improving-code-generation.pdf	search/full-texts/text/FT0082_TA00712_self-taught-optimizer-stop-recursively-self-improving-code-generation.txt	Full text describes STOP recursively self-improving its own code-generation improver across iterations, preserving improved improver code and showing transfer to new downstream algorithmic/code-generation tasks with quantitative results.	architecture	arch_self_evolution_archive	pending_extraction	classified_from_full_text_rationale	classification pass: improved code-generation improver is preserved across self-improvement iterations
I003	FT0088	TA01157	D01157	Empowering Agile-Based Generative Software Development through Human-AI Teamwork	2024	Sai Zhang; Zhenchang Xing; Ronghui Guo; Fangzhou Xu; Lei Chen; Zhaoyuan Zhang; Xiaowang Zhang; Zhiyong Feng; Zhiqiang Zhuang		10.1145/3702987	2407.15568	citations	search/results-citations.json	forward | forward_from=qian2024iterative	ok	search/full-texts/pdf/FT0088_TA01157_empowering-agile-based-generative-software-development-through-human-ai-teamwork.pdf	search/full-texts/text/FT0088_TA01157_empowering-agile-based-generative-software-development-through-human-ai-teamwork.txt	Full text describes AgileGen maintaining a self-updating memory pool of prior user decision-making scenarios, retrieving similar entries for future software-generation tasks, and evaluating generated software with CodeBLEU, Pass@1, human evaluation, time, cost, and ablation-style comparisons.	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	classification pass: self-updating memory pool of prior user decision scenarios
I004	FT0003	TA00466	D00466	FALCON: Feedback-driven Adaptive Long/short-term memory reinforced Coding Optimization system	2024		arXiv	10.48550/arXiv.2410.21349	2410.21349	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.LG;cs.AI;cs.PF	ok	search/full-texts/pdf/FT0003_TA00466_falcon-feedback-driven-adaptive-long-short-term-memory-reinforced-coding-optimiz.pdf	search/full-texts/text/FT0003_TA00466_falcon-feedback-driven-adaptive-long-short-term-memory-reinforced-coding-optimiz.txt	Full text describes FALCON as a coding-optimization system with explicit long-term and short-term memory buffers that store historical tasks, errors, and feedback for later code-generation improvement with empirical evaluation.	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	classification pass: long/short-term memory buffers for coding optimization
I005	FT0002	TA00018	D00018	Iterative Experience Refinement of Software-Developing Agents	2024		arXiv	10.48550/arXiv.2405.04219	2405.04219	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.CL;cs.AI;cs.MA;cs.SE	ok	search/full-texts/pdf/FT0002_TA00018_iterative-experience-refinement-of-software-developing-agents.pdf	search/full-texts/text/FT0002_TA00018_iterative-experience-refinement-of-software-developing-agents.txt	Full text describes Iterative Experience Refinement for software-developing agents, accumulating and refining experiences across task batches and evaluating software-development task performance.	architecture	arch_experience_bank	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior extraction match: qian2024iterative; role/type prefilled from extraction/extracted-data.tsv and must be rechecked for current search. | classification pass: prior exact-title match; experience refinement across software-development batches
I006	FT0005	TA01356	D01356	LLMs as Continuous Learners: Improving the Reproduction of Defective Code in Software Issues	2024	Yalan Lin; Yingwei Ma; Rongyu Cao; Binhua Li; Fei Huang; Xiaodong Gu; Yongbin Li		10.48550/arxiv.2411.13941	2411.13941	citations	search/results-citations.json	backward | backward_from=chen2025sweexp;mu2025experepair	ok	search/full-texts/pdf/FT0005_TA01356_llms-as-continuous-learners-improving-the-reproduction-of-defective-code-in-soft.pdf	search/full-texts/text/FT0005_TA01356_llms-as-continuous-learners-improving-the-reproduction-of-defective-code-in-soft.txt	Full text describes EvoCoder accumulating prior issue-reproduction trajectories into common and repository-specific experience pools that are updated and reused on later software issues, with SWE-bench evaluation.	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	classification pass: common and repository-specific experience pools for issue reproduction
I007	FT0004	TA00540	D00540	Skill-Adpative Imitation Learning for UI Test Reuse	2024		arXiv	10.48550/arXiv.2409.13311	2409.13311	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.SE	ok	search/full-texts/pdf/FT0004_TA00540_skill-adpative-imitation-learning-for-ui-test-reuse.pdf	search/full-texts/text/FT0004_TA00540_skill-adpative-imitation-learning-for-ui-test-reuse.txt	Full text describes SAIL extracting and archiving UI-testing skills in a memory/knowledge base from source test cases and reusing them for later target-app test generation, with evaluation against baselines.	architecture	arch_skill_rule_library	pending_extraction	classified_from_full_text_rationale	classification pass: archived UI-testing skills reused for target-app test generation
I008	FT0095	TA00284	D00284	A Self-Improving Coding Agent	2025	Maxime Robeyns; M. Szummer; Laurence Aitchison	arXiv	10.48550/arXiv.2504.15228	2504.15228	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.AI; backward | backward_from=weng2026groupevolving	ok	search/full-texts/pdf/FT0095_TA00284_a-self-improving-coding-agent.pdf	search/full-texts/text/FT0095_TA00284_a-self-improving-coding-agent.txt	Full text describes a self-improving coding agent that keeps an archive of previous agents and benchmark results, selects the best archived agent for the next self-modification iteration, and reports gains on SWE-Bench Verified, LiveCodeBench, and synthetic benchmarks.	architecture	arch_self_evolution_archive	pending_extraction	classified_from_full_text_rationale	classification pass: archive of previous agents and benchmark results guides self-modification
I009	FT0025	TA00450	D00450	AccelOpt: A Self-Improving LLM Agentic System for AI Accelerator Kernel Optimization	2025	Genghan Zhang; Shaowei Zhu; Anjiang Wei; Zhenyu Song; Allen Nie; Zhen Jia; Nandita Vijaykumar; Yida Wang; K. Olukotun	arXiv	10.48550/arXiv.2511.15915	2511.15915	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.LG;cs.CL; forward | forward_from=ouyang2026reasoningbank	ok	search/full-texts/pdf/FT0025_TA00450_accelopt-a-self-improving-llm-agentic-system-for-ai-accelerator-kernel-optimizat.pdf	search/full-texts/text/FT0025_TA00450_accelopt-a-self-improving-llm-agentic-system-for-ai-accelerator-kernel-optimizat.txt	Full text describes AccelOpt maintaining and updating optimization memory from prior slow-fast kernel pairs and exploration experiences, with NKIBench evaluation for AI accelerator kernel optimization.	architecture	arch_experience_bank	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior extraction match: zhang2025accelopt; role/type prefilled from extraction/extracted-data.tsv and must be rechecked for current search. | classification pass: prior exact-title match; optimization memory from slow-fast kernel pairs
I010	FT0030	TA00588	D00588	Agent KB: Leveraging Cross-Domain Experience for Agentic Problem Solving	2025	Xiangru Tang; Tianrui Qin; Tianhao Peng; Ziyang Zhou; Yanjun Shao; TingTing Du; Xinming Wei; Peng Xia; Fang Wu; He Zhu; Ge Zhang; Jiaheng Liu; Xingyao Wang; Sirui Hong; Chenglin Wu; Hao Cheng; Chi Wang; Wangchunshu Zhou	arXiv	10.48550/arXiv.2507.06229	2507.06229	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.CL;cs.AI; backward+forward | forward_from=su2025learnbyinteract | backward_from=chen2025sweexp;ouyang2026reasoningbank;memorytransfer2026	ok	search/full-texts/pdf/FT0030_TA00588_agent-kb-leveraging-cross-domain-experience-for-agentic-problem-solving.pdf	search/full-texts/text/FT0030_TA00588_agent-kb-leveraging-cross-domain-experience-for-agentic-problem-solving.txt	Full text describes Agent KB as a shared cross-framework knowledge base that distills heterogeneous agent trajectories into reusable experience units and evaluates cross-domain transfer including SWE-bench.	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	classification pass: shared cross-framework distilled trajectory experience units
I011	FT0100	TA00330	D00330	Agents in software engineering: survey, landscape, and vision	2025	Wang Y.	Automated Software Engineering	10.1007/s10515-025-00544-2	2409.09030	arxiv_chunk; scopus	search/arxiv-query-chunk-results.tsv; search/scopus-results-family-b-generic-agent-memory-se.json	cs.SE;cs.AI;cs.CL; family_b_generic_agent_memory_se; Article	ok	search/full-texts/pdf/FT0100_TA00330_agents-in-software-engineering-survey-landscape-and-vision.pdf	search/full-texts/text/FT0100_TA00330_agents-in-software-engineering-survey-landscape-and-vision.txt	Full text is an analytical survey of LLM-based agents in software engineering that filters 115 papers, proposes a perception-memory-action framework, and analyzes semantic, episodic, and procedural memory roles in SE agents; retained as contextual/taxonomic evidence.	contextual_survey	contextual_not_applicable	not_applicable_contextual	classified_from_full_text_rationale	classification pass: analytical SE-agent survey with perception-memory-action taxonomy
I012	FT0114	TA00960	D00960	AlphaOPT: Formulating Optimization Programs with Self-Improving LLM Experience Library	2025	Minwei Kong; A. Qu; Xiaotong Guo; Wenbin Ouyang; Chonghe Jiang; Han Zheng; Yining Ma; Dingyi Zhuang; Yuhan Tang; Junyi Li; Hai Wang; Cathy Wu; Jinhua Zhao		10.48550/arxiv.2510.18428	2510.18428	citations	search/results-citations.json	forward | forward_from=ouyang2026reasoningbank;mu2025experepair	ok	search/full-texts/pdf/FT0114_TA00960_alphaopt-formulating-optimization-programs-with-self-improving-llm-experience-li.pdf	search/full-texts/text/FT0114_TA00960_alphaopt-formulating-optimization-programs-with-self-improving-llm-experience-li.txt	Full text proposes AlphaOPT, a self-improving solver-verified experience library that stores structured modeling and code-implementation insights, retrieves and refines them across optimization-program instances, and evaluates performance on multiple optimization/program-formulation benchmarks.	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	classification pass: self-improving solver-verified experience library
I013	FT0096	TA00287	D00287	Autonomous Code Evolution Meets NP-Completeness	2025		arXiv	10.48550/arXiv.2509.07367	2509.07367	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.AI;cs.LG;cs.LO	ok	search/full-texts/pdf/FT0096_TA00287_autonomous-code-evolution-meets-np-completeness.pdf	search/full-texts/text/FT0096_TA00287_autonomous-code-evolution-meets-np-completeness.txt	Full text describes SATLUTION as a repository-scale LLM-based code-evolution framework that persists evolved solver repositories, self-evolves evolution policies/rules across cycles, and reports PAR-2 and solved-instance results against SAT Competition benchmarks.	architecture	arch_self_evolution_archive	pending_extraction	classified_from_full_text_rationale	classification pass: persists evolved solver repositories and self-evolving rules/policies
I014	FT0102	TA00389	D00389	Beyond Task Completion: An Assessment Framework for Evaluating Agentic AI Systems	2025		arXiv	10.48550/arXiv.2512.12791	2512.12791	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.MA;cs.AI;cs.SE	ok	search/full-texts/pdf/FT0102_TA00389_beyond-task-completion-an-assessment-framework-for-evaluating-agentic-ai-systems.pdf	search/full-texts/text/FT0102_TA00389_beyond-task-completion-an-assessment-framework-for-evaluating-agentic-ai-systems.txt	Full text proposes an Agent Assessment Framework with explicit memory-pillar metrics for storage/update correctness, retrieval accuracy, latency, and coverage, and validates it on a representative Autonomous CloudOps agentic system in a software-engineering/operations setting.	contextual_assessment	contextual_not_applicable	not_applicable_contextual	classified_from_full_text_rationale	classification pass: assessment framework with memory metrics, not a persistence architecture itself
I015	FT0013	TA00148	D00148	CodeDistiller: Automatically Generating Code Libraries for Scientific Coding Agents	2025		arXiv	10.48550/arXiv.2512.01089	2512.01089	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.AI	ok	search/full-texts/pdf/FT0013_TA00148_codedistiller-automatically-generating-code-libraries-for-scientific-coding-agen.pdf	search/full-texts/text/FT0013_TA00148_codedistiller-automatically-generating-code-libraries-for-scientific-coding-agen.txt	Full text describes CodeDistiller generating a vetted reusable code-example library from repositories for scientific coding agents, with automatic/domain-expert evaluation and downstream agent evaluation.	architecture	arch_skill_rule_library	pending_extraction	classified_from_full_text_rationale	classification pass: vetted reusable code-example library for scientific coding agents
I016	FT0016	TA00156	D00156	Confucius Code Agent: Scalable Agent Scaffolding for Real-World Codebases	2025	Sherman Wong; Zhenting Qi; Zhaodong Wang; Nathan Hu; Samuel Lin; Jun Ge; Erwin Gao; Wenlin Chen; Yilun Du; Minlan Yu; Ying Zhang	arXiv	10.48550/arXiv.2512.10398	2512.10398	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.CL;cs.AI;cs.LG;cs.SE; backward+forward | forward_from=xia2025livesweagent | backward_from=vasilopoulos2026codified	ok	search/full-texts/pdf/FT0016_TA00156_confucius-code-agent-scalable-agent-scaffolding-for-real-world-codebases.pdf	search/full-texts/text/FT0016_TA00156_confucius-code-agent-scalable-agent-scaffolding-for-real-world-codebases.txt	Full text describes Confucius Code Agent with a persistent note-taking and long-term memory system for cross-session continual learning, evaluated on SWE-Bench-Pro, SWE-Bench Verified, and PyTorch-Bench.	architecture	arch_persistent_workspace_state	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior extraction match: wong2025confucius; role/type prefilled from extraction/extracted-data.tsv and must be rechecked for current search. | classification pass: prior exact-title match; persistent notes and long-term memory across sessions
I017	FT0089	TA00075	D00075	Darwin Godel Machine: Open-Ended Evolution of Self-Improving Agents	2025	Jenny Zhang; Shengran Hu; Cong Lu; R. Lange; Jeff Clune	arXiv	10.48550/arXiv.2505.22954	2505.22954	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.AI; backward | backward_from=chen2025sweexp;xia2025livesweagent;weng2026groupevolving	ok	search/full-texts/pdf/FT0089_TA00075_darwin-godel-machine-open-ended-evolution-of-self-improving-agents.pdf	search/full-texts/text/FT0089_TA00075_darwin-godel-machine-open-ended-evolution-of-self-improving-agents.txt	Full text describes the Darwin Godel Machine maintaining an archive of generated coding agents, selecting archived agents for self-modification, preserving auditable lineages of code changes/evaluations, and improving on SWE-bench and Polyglot with baselines for self-improvement and archive/open-ended exploration.	architecture	arch_self_evolution_archive	pending_extraction	classified_from_full_text_rationale	classification pass: archive and lineage of generated coding agents
I018	FT0032	TA01147	D01147	ECO: An LLM-Driven Efficient Code Optimizer for Warehouse Scale Computers	2025	Hannah Lin; Martin Maas; Maximilian Roquemore; Arman Hasanzadeh; Fred Lewis; Yusuf Simonson; Tzu-Wei Yang; Amir Yazdanbakhsh; Deniz Altinbüken; Florin Papa; Maggie Nolan Edmonds; Aditya Patil; Don Schwarz; Satish Chandra; Chris Kennelly; Milad Hashemi; Parthasarathy Ranganathan		10.48550/arxiv.2503.15669	2503.15669	citations	search/results-citations.json	backward | backward_from=dong2026kernelblaster;wong2025confucius	ok	search/full-texts/pdf/FT0032_TA01147_eco-an-llm-driven-efficient-code-optimizer-for-warehouse-scale-computers.pdf	search/full-texts/text/FT0032_TA01147_eco-an-llm-driven-efficient-code-optimizer-for-warehouse-scale-computers.txt	Full text describes ECO mining historical performance-optimizing commits into reusable anti-pattern/optimization knowledge and applying it through an LLM-driven code optimizer with production-scale evaluation.	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	classification pass: historical performance-optimizing commits mined into reusable optimization knowledge
I019	FT0033	TA01175	D01175	EvoLattice: Persistent Internal-Population Evolution through Multi-Alternative Quality-Diversity Graph Representations for LLM-Guided Program Discovery	2025	K. Yuksel		10.48550/arxiv.2512.13857	2512.13857	citations	search/results-citations.json	forward | forward_from=zhang2025darwingodel	ok	search/full-texts/pdf/FT0033_TA01175_evolattice-persistent-internal-population-evolution-through-multi-alternative-qu.pdf	search/full-texts/text/FT0033_TA01175_evolattice-persistent-internal-population-evolution-through-multi-alternative-qu.txt	Full text describes EvoLattice as a persistent multi-alternative graph representation that preserves reusable program components and historical evidence during LLM-guided program discovery, with benchmark evaluation.	architecture	arch_self_evolution_archive	pending_extraction	classified_from_full_text_rationale	classification pass: persistent quality-diversity graph of reusable program components/evidence
I020	FT0031	TA00677	D00677	Evolving Triple Knowledge-Augmented LLMs for Code Translation in Repository Context	2025		arXiv	10.48550/arXiv.2503.18305	2503.18305	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.SE	ok	search/full-texts/pdf/FT0031_TA00677_evolving-triple-knowledge-augmented-llms-for-code-translation-in-repository-cont.pdf	search/full-texts/text/FT0031_TA00677_evolving-triple-knowledge-augmented-llms-for-code-translation-in-repository-cont.txt	Full text describes K3 Trans constructing and continuously evolving a translation knowledge base from target-language codebases, repository context, and prior translation results, with repository-level code-translation evaluation.	architecture	arch_repository_memory	pending_extraction	classified_from_full_text_rationale	classification pass: evolving translation knowledge base from codebase context and prior translations
I021	FT0028	TA00473	D00473	EXPEREPAIR: Dual-Memory Enhanced LLM-based Repository-Level Program Repair	2025	Fangwen Mu; Junjie Wang; Lin Shi; Song Wang; Shoubin Li; Qing Wang	arXiv	10.48550/arXiv.2506.10484	2506.10484	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.SE; backward | backward_from=shen2026structurally;wang2026memgovern	ok	search/full-texts/pdf/FT0028_TA00473_experepair-dual-memory-enhanced-llm-based-repository-level-program-repair.pdf	search/full-texts/text/FT0028_TA00473_experepair-dual-memory-enhanced-llm-based-repository-level-program-repair.txt	Full text describes ExpeRepair accumulating historical repair experiences into episodic and semantic memories, retrieving them at inference time for repository-level program repair, and evaluating on SWE-bench Lite.	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	classification pass: episodic and semantic repair memories from historical repair experiences
I022	FT0006	TA00077	D00077	From Knowledge to Noise: CTIM-Rover and the Pitfalls of Episodic Memory in Software Engineering Agents	2025	Tobias Lindenbauer; Georg Groh; Hinrich Schütze	arXiv	10.48550/arXiv.2505.23422	2505.23422	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.SE;cs.AI; forward | forward_from=su2025learnbyinteract	ok	search/full-texts/pdf/FT0006_TA00077_from-knowledge-to-noise-ctim-rover-and-the-pitfalls-of-episodic-memory-in-softwa.pdf	search/full-texts/text/FT0006_TA00077_from-knowledge-to-noise-ctim-rover-and-the-pitfalls-of-episodic-memory-in-softwa.txt	Full text describes CTIM-Rover as a software-engineering agent with cross-task-instance episodic memory distilled from prior SWE-bench experiences and reports negative empirical results, which remain eligible evidence.	architecture	arch_experience_bank	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior extraction match: lindenbauer2025ctimrover; role/type prefilled from extraction/extracted-data.tsv and must be rechecked for current search. | classification pass: prior exact-title match; cross-task episodic SWE-bench memory with negative results
I023	FT0021	TA00361	D00361	Git Context Controller: Manage the Context of LLM-based Agents like Git	2025		arXiv	10.48550/arXiv.2508.00031	2508.00031	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.SE	ok	search/full-texts/pdf/FT0021_TA00361_git-context-controller-manage-the-context-of-llm-based-agents-like-git.pdf	search/full-texts/text/FT0021_TA00361_git-context-controller-manage-the-context-of-llm-based-agents-like-git.txt	Full text describes Git Context Controller as a persistent, version-controlled memory workspace for LLM agents, supporting cross-session continuity, branching, merging, and SWE-Bench/BrowseComp evaluation.	architecture	arch_persistent_workspace_state	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior extraction match: wu2025gcc; role/type prefilled from extraction/extracted-data.tsv and must be rechecked for current search. | classification pass: prior exact-title match; version-controlled persistent memory workspace
I024	FT0098	TA00292	D00292	Huxley-Gödel Machine: Human-Level Coding Agent Development by an Approximation of the Optimal Self-Improving Machine	2025	Wenyi Wang; Piotr Piekos; Nanbo Li; Firas Laakom; Yimeng Chen; Mateusz Ostaszewski; Mingchen Zhuge; Jurgen Schmidhuber	arXiv	10.48550/arXiv.2510.21614	2510.21614	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.AI; backward+forward | forward_from=zhang2025darwingodel | backward_from=chen2025sweexp;xia2025livesweagent	ok	search/full-texts/pdf/FT0098_TA00292_huxley-g-del-machine-human-level-coding-agent-development-by-an-approximation-of.pdf	search/full-texts/text/FT0098_TA00292_huxley-g-del-machine-human-level-coding-agent-development-by-an-approximation-of.txt	Full text describes the Huxley-Godel Machine maintaining a tree/archive of self-modified coding agents and evaluations, using clade-level metaproductivity to guide future self-improvement, and evaluating on SWE-bench Verified, SWE-bench Lite, and Polyglot.	architecture	arch_self_evolution_archive	pending_extraction	classified_from_full_text_rationale	classification pass: tree/archive of self-modified coding agents and evaluations
I025	FT0023	TA00371	D00371	Improving Code Localization with Repository Memory	2025	Boshi Wang; Weijian Xu; Yunsheng Li; Mei Gao; Yujia Xie; Huan Sun; Dongdong Chen	arXiv	10.48550/arXiv.2510.01003	2510.01003	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.SE;cs.CL; backward | backward_from=shen2026structurally	ok	search/full-texts/pdf/FT0023_TA00371_improving-code-localization-with-repository-memory.pdf	search/full-texts/text/FT0023_TA00371_improving-code-localization-with-repository-memory.txt	Full text proposes repository memory from historical commits, issues, and functionality summaries as episodic/semantic memory for code-localization agents, evaluated on SWE-bench Verified and SWE-bench Live.	architecture	arch_repository_memory	yes_prefilled_prior	classified_from_prior_prefill_recheck_required	prior extraction match: wang2025repositorymemory; role/type prefilled from extraction/extracted-data.tsv and must be rechecked for current search. | classification pass: prior exact-title match; historical commits/issues/function summaries as repository memory
I026	FT0075	TA01303	D01303	KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta	2025	KernelEvolve Team; Meta Platforms		10.48550/arxiv.2512.23236	2512.23236	citations	search/results-citations.json	backward | backward_from=dong2026kernelblaster	ok	search/full-texts/pdf/FT0075_TA01303_kernelevolve-scaling-agentic-kernel-coding-for-heterogeneous-ai-accelerators-at.pdf	search/full-texts/text/FT0075_TA01303_kernelevolve-scaling-agentic-kernel-coding-for-heterogeneous-ai-accelerators-at.txt	Full text describes an agentic kernel-coding framework with a persistent knowledge base and metadata store that enable continuous knowledge accumulation, checkpointing, and cross-session knowledge reuse, and it evaluates correctness/performance on KernelBench and production operator-platform configurations.	architecture	arch_experience_bank	pending_extraction	classified_from_full_text_rationale	classification pass: persistent knowledge base and metadata store for kernel coding
